Sat. Oct.  1, 2016             LANDSAT 5                 Time: 10:37
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20100545            Path/Row: 013 / 032

L0R Reference Image: L51AAA1090242140100_HDF.162751535
Acquisition Date: Aug 30, 1990

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       0.194    -1.479     0.440    -1.425
0130320002_01   40.985966  -74.209579   109.451       2.185     0.704     2.034     1.060
0130320003_01   40.797198  -72.637571   -32.354       5.770    -4.528     6.450    -3.494
0130320007_01   41.024323  -74.206980    78.507      -2.239    -0.763    -2.079    -1.127
0130320008_01   40.742508  -74.255819    36.008       2.565     0.562     2.434     0.984
0130320009_01   40.528315  -74.193730   -22.011      -3.378     2.263    -3.711     1.663
0130320010_01   40.471312  -74.278993    -4.971       0.268    -1.816     0.570    -1.745
0130320011_01   40.320072  -74.446563    15.000       2.718    -0.978     2.843    -0.506
0130320012_01   40.704794  -73.791026   -15.364       1.569    -0.767     1.676    -0.493
0130320014_01   41.031222  -73.762948    33.541      -3.250    -1.185    -3.004    -1.713
0130320015_01   40.849362  -73.315786    24.221      -1.166     2.844    -1.627     2.608
0130320018_01   40.689480  -74.096283   -23.540       6.758     3.264     6.111     4.352
0130320019_01   40.348265  -74.045041   -22.951      -4.890    -1.846    -4.508    -2.642
0130320020_01   40.017080  -74.100998   -32.000       4.344    -0.144     4.305     0.591
0130320021_01   40.830719  -73.926433   -25.000      -6.753    -2.636    -6.213    -3.732
0130320023_01   40.627324  -74.207084   -29.527       1.882    -0.257     1.898     0.063
0130320024_01   40.707930  -73.860221   -11.161      -4.361     0.844    -4.441     0.099
0130320025_01   40.799067  -73.664494    23.537      -1.445     0.765    -1.553     0.512
0130320026_01   40.761740  -73.733483    20.856      -3.645    -0.653    -3.483    -1.255
0130320027_01   40.706608  -73.311220   -27.502      -5.787    -0.007    -5.704    -0.980
