==============================================================================
==============================================================================
 Oct. 1 2016                  LANDSAT 5                       Time: 15:44
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609293545_01704                          Path / Row - 13 / 32
Reference Image: L51AAA1090242140100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320091   41.24317    -74.16209     0.02      0.34     0.34     1 
0130320092   41.24289    -74.12522    -0.12      0.11     0.17     1 
0130320093   41.24261    -74.08835    -0.08      0.12     0.15     1 
0130320094   41.24231    -74.05147     0.09      0.11     0.14     1 
0130320095   41.24200    -74.01460     0.23      0.07     0.24     1 
0130320096   41.24168    -73.97773    -0.10      0.12     0.15     1 
0130320166   41.21777    -74.16242     0.19     -0.00     0.19     1 
0130320167   41.21749    -74.12556     0.12     -0.02     0.12     1 
0130320168   41.21721    -74.08870    -0.08      0.14     0.16     1 
0130320169   41.21691    -74.05184     0.05      0.11     0.13     1 
0130320170   41.21660    -74.01498     0.19      0.06     0.20     1 
0130320171   41.21628    -73.97813    -0.07     -0.00     0.07     1 
0130320174   41.21525    -73.86756     0.10     -0.12     0.16     1 
0130320175   41.21488    -73.83071    -0.09      0.01     0.09     1 
0130320176   41.21450    -73.79386     0.21     -0.03     0.21     1 
0130320241   41.19237    -74.16274     0.11      0.03     0.12     1 
0130320242   41.19210    -74.12590    -0.06      0.01     0.06     1 
0130320243   41.19181    -74.08905    -0.16      0.14     0.22     1 
0130320244   41.19151    -74.05221     0.17     -0.01     0.17     1 
0130320245   41.19120    -74.01537     0.24      0.03     0.24     1 
0130320246   41.19088    -73.97852     0.19      0.02     0.19     1 
0130320248   41.19020    -73.90484    -0.01     -0.01     0.02     1 
0130320249   41.18985    -73.86800     0.05     -0.01     0.05     1 
0130320250   41.18948    -73.83116     0.11      0.05     0.12     1 
0130320251   41.18910    -73.79432     0.19      0.00     0.19     1 
0130320252   41.18871    -73.75748     0.03     -0.00     0.03     1 
0130320253   41.18831    -73.72065     0.09     -0.00     0.09     1 
0130320254   41.18789    -73.68381     0.13      0.11     0.17     1 
0130320255   41.18746    -73.64697    -0.01      0.00     0.01     1 
0130320256   41.18702    -73.61014     0.01      0.04     0.04     1 
0130320257   41.18657    -73.57330     0.14     -0.01     0.14     1 
0130320316   41.16697    -74.16306     0.23      0.09     0.25     1 
0130320317   41.16669    -74.12623    -0.08      0.17     0.19     1 
0130320318   41.16641    -74.08940     0.15     -0.01     0.15     1 
0130320319   41.16611    -74.05258     0.24      0.02     0.24     1 
0130320320   41.16580    -74.01575     0.21      0.03     0.21     1 
0130320321   41.16548    -73.97892     0.21      0.07     0.22     1 
0130320322   41.16515    -73.94209     0.00      0.05     0.05     1 
0130320323   41.16481    -73.90526    -0.34      0.05     0.34     1 
0130320324   41.16445    -73.86844     0.11      0.02     0.11     1 
0130320325   41.16408    -73.83161     0.18     -0.01     0.18     1 
0130320326   41.16370    -73.79479     0.14     -0.07     0.16     1 
0130320327   41.16331    -73.75796     0.14      0.05     0.15     1 
0130320328   41.16291    -73.72114     0.21     -0.06     0.22     1 
0130320329   41.16249    -73.68432     0.05      0.11     0.12     1 
0130320330   41.16207    -73.64750    -0.02      0.01     0.02     1 
0130320331   41.16163    -73.61068    -0.12     -0.01     0.12     1 
0130320332   41.16118    -73.57385    -0.02     -0.03     0.03     1 
0130320333   41.16072    -73.53704    -0.03     -0.02     0.03     1 
0130320334   41.16024    -73.50022     0.12     -0.05     0.13     1 
0130320335   41.15976    -73.46340     0.13     -0.05     0.14     1 
0130320336   41.15926    -73.42658     0.15      0.02     0.15     1 
0130320337   41.15875    -73.38977     0.11      0.01     0.11     1 
0130320390   41.14183    -74.20020     0.09      0.20     0.22     1 
0130320391   41.14157    -74.16339     0.08      0.07     0.11     1 
