Thu. Sep. 29, 2016             LANDSAT 5                 Time: 06:13
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20061742            Path/Row: 013 / 032

L0R Reference Image: L51AAA1091213140100_HDF.162731055
Acquisition Date: Aug 01, 1991

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       1.546    -0.790     1.666    -0.516
0130320002_01   40.985966  -74.209579   109.451      -4.948     1.827    -5.197     0.966
0130320004_01   41.050400  -73.531986   -15.842      -0.569     0.229    -0.605     0.129
0130320008_01   40.742508  -74.255819    36.008       0.842     3.221     0.272     3.315
0130320009_01   40.528315  -74.193730   -22.011      -4.427    -1.631    -4.098    -2.357
0130320010_01   40.471312  -74.278993    -4.971      -4.315     0.338    -4.322    -0.397
0130320011_01   40.320072  -74.446563    15.000       0.840    -0.928     0.971    -0.775
0130320012_01   40.704794  -73.791026   -15.364       3.623    -2.363     3.963    -1.718
0130320014_01   41.031222  -73.762948    33.541      -1.483     0.286    -1.518     0.031
0130320015_01   40.849362  -73.315786    24.221      -4.797     0.329    -4.785    -0.484
0130320020_01   40.017080  -74.100998   -32.000       3.178     1.443     2.879     1.959
0130320023_01   40.627324  -74.207084   -29.527       4.742    -0.374     4.724     0.430
0130320024_01   40.707930  -73.860221   -11.161      -5.103     0.677    -5.151    -0.194
0130320025_01   40.799067  -73.664494    23.537       0.900     6.637    -0.239     6.692
0130320026_01   40.761740  -73.733483    20.856      -3.334     0.270    -3.338    -0.297
0130320027_01   40.706608  -73.311220   -27.502      -1.124     3.066    -1.626     2.832
0130320028_01   40.815703  -72.604548   -29.085      -0.715     0.586    -0.796     0.458
0130320029_01   40.857797  -73.395655    36.005      -4.524    -1.815    -4.155    -2.552
0130320030_01   40.813219  -72.576184   -27.298       1.246    -1.435     1.479    -1.202
0130320031_01   40.559868  -74.308164    -2.814      -2.547    -2.666    -2.072    -3.059
