==============================================================================
==============================================================================
Thu. Sep. 29 2016                  LANDSAT 5                       Time: 10:58
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609283367_05396                          Path / Row - 13 / 32
Reference Image: L51AAA1091229140100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320091   41.24304    -74.14419     0.03      0.18     0.18     1 
0130320092   41.24276    -74.10732    -0.17      0.12     0.21     1 
0130320093   41.24246    -74.07045     0.30      0.22     0.37     1 
0130320094   41.24216    -74.03358     0.27     -0.08     0.28     1 
0130320095   41.24184    -73.99671     0.16      0.05     0.17     1 
0130320096   41.24152    -73.95983    -0.05      0.02     0.06     1 
0130320166   41.21764    -74.14452     0.14     -0.12     0.19     1 
0130320167   41.21736    -74.10767     0.18     -0.02     0.18     1 
0130320168   41.21706    -74.07081     0.03      0.11     0.11     1 
0130320169   41.21676    -74.03395     0.21     -0.00     0.21     1 
0130320170   41.21645    -73.99709     0.15      0.01     0.15     1 
0130320171   41.21612    -73.96024     0.03      0.09     0.09     1 
0130320174   41.21507    -73.84967     0.15     -0.02     0.15     1 
0130320175   41.21469    -73.81282     0.22     -0.02     0.22     1 
0130320176   41.21431    -73.77597     0.06      0.07     0.09     1 
0130320240   41.19250    -74.18170     0.05      0.14     0.15     1 
0130320241   41.19224    -74.14486    -0.01      0.13     0.13     1 
0130320242   41.19196    -74.10801     0.34      0.11     0.35     1 
0130320243   41.19167    -74.07117     0.20      0.13     0.24     1 
0130320244   41.19136    -74.03432     0.29      0.09     0.30     1 
0130320246   41.19072    -73.96064    -0.09      0.03     0.09     1 
0130320248   41.19003    -73.88696    -0.05     -0.03     0.06     1 
0130320249   41.18967    -73.85012     0.13      0.03     0.14     1 
0130320250   41.18930    -73.81328     0.27      0.05     0.28     1 
0130320251   41.18891    -73.77644     0.18      0.01     0.18     1 
0130320252   41.18852    -73.73960     0.13      0.10     0.17     1 
0130320253   41.18811    -73.70276     0.20      0.05     0.21     1 
0130320254   41.18769    -73.66593     0.14     -0.01     0.14     1 
0130320255   41.18725    -73.62909    -0.02     -0.01     0.02     1 
0130320256   41.18681    -73.59226    -0.05      0.06     0.08     1 
0130320315   41.16710    -74.18202     0.16      0.07     0.17     1 
0130320316   41.16684    -74.14518     0.11      0.10     0.15     1 
0130320317   41.16656    -74.10836    -0.05      0.31     0.31     1 
0130320318   41.16627    -74.07153     0.32      0.05     0.32     1 
0130320320   41.16565    -73.99787     0.27      0.07     0.28     1 
0130320321   41.16532    -73.96104     0.31      0.10     0.33     1 
0130320323   41.16464    -73.88739    -0.31      0.14     0.34     1 
0130320324   41.16427    -73.85056     0.17      0.04     0.17     1 
0130320325   41.16390    -73.81374     0.04     -0.08     0.09     1 
0130320326   41.16351    -73.77691     0.08      0.08     0.11     1 
0130320327   41.16312    -73.74009     0.22     -0.02     0.22     1 
0130320328   41.16271    -73.70327     0.29      0.04     0.29     1 
0130320329   41.16229    -73.66644     0.12     -0.00     0.12     1 
0130320330   41.16186    -73.62962    -0.01     -0.00     0.01     1 
0130320331   41.16141    -73.59280     0.11      0.03     0.12     1 
0130320332   41.16096    -73.55598     0.15     -0.16     0.22     1 
0130320333   41.16049    -73.51916     0.14      0.01     0.14     1 
0130320334   41.16001    -73.48234     0.19     -0.00     0.19     1 
0130320335   41.15952    -73.44553     0.17     -0.00     0.17     1 
0130320336   41.15902    -73.40871     0.14      0.07     0.16     1 
0130320337   41.15850    -73.37190     0.10      0.02     0.10     1 
0130320390   41.14171    -74.18233     0.25      0.24     0.35     1 
0130320391   41.14144    -74.14552     0.26      0.18     0.32     1 
0130320392   41.14116    -74.10870     0.29      0.10     0.31     1 
0130320393   41.14087    -74.07188     0.33      0.16     0.37     1 
0130320395   41.14025    -73.99826     0.18      0.03     0.18     1 
