Tue. Sep. 27, 2016             LANDSAT 5                 Time: 06:05
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19999614            Path/Row: 013 / 032

L0R Reference Image: L51XXX1094173140100_HDF.162711034
Acquisition Date: Jun 22, 1994

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607      -0.546    -1.244    -0.341    -1.319
0130320002_01   40.985966  -74.209579   109.451      -1.472     0.799    -1.569     0.545
0130320004_01   41.050400  -73.531986   -15.842      -0.051     0.140    -0.069     0.131
0130320005_01   40.837345  -73.132134    -7.643      -1.672    -4.111    -0.961    -4.333
0130320007_01   41.024323  -74.206980    78.507      -7.078     3.684    -7.576     2.450
0130320008_01   40.742508  -74.255819    36.008      -1.223     2.622    -1.630     2.383
0130320009_01   40.528315  -74.193730   -22.011      -6.446     0.252    -6.382    -0.831
0130320010_01   40.471312  -74.278993    -4.971      -2.134     1.727    -2.380     1.347
0130320011_01   40.320072  -74.446563    15.000      -0.803    -0.932    -0.618    -1.049
0130320012_01   40.704794  -73.791026   -15.364       4.710    -1.999     4.986    -1.177
0130320014_01   41.031222  -73.762948    33.541      -0.632    -0.142    -0.591    -0.243
0130320015_01   40.849362  -73.315786    24.221      -1.956     2.990    -2.430     2.620
0130320017_01   40.997453  -73.842051    24.670      -6.198     2.983    -6.599     1.905
0130320019_01   40.348265  -74.045041   -22.951      -7.175    -0.598    -6.960    -1.794
0130320020_01   40.017080  -74.100998   -32.000       3.762    -0.190     3.749     0.450
0130320021_01   40.830719  -73.926433   -25.000       0.658    -2.899     1.146    -2.744
0130320023_01   40.627324  -74.207084   -29.527       3.528     1.754     3.195     2.325
0130320024_01   40.707930  -73.860221   -11.161      -3.796    -2.431    -3.324    -3.031
0130320025_01   40.799067  -73.664494    23.537      -2.561    -1.261    -2.306    -1.670
0130320026_01   40.761740  -73.733483    20.856      -3.476    -0.027    -3.415    -0.607
