Mon. Sep. 26, 2016             LANDSAT 5                 Time: 19:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19985047            Path/Row: 013 / 032

L0R Reference Image: L51XXX1095208141100_HDF.162702317
Acquisition Date: Jul 27, 1995

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320002_01   40.985966  -74.209579   109.451       0.414     1.059     0.247     1.115
0130320003_01   40.797198  -72.637571   -32.354       0.382    -0.381     0.431    -0.314
0130320004_01   41.050400  -73.531986   -15.842      -1.374    -0.187    -1.318    -0.413
0130320007_01   41.024323  -74.206980    78.507      -2.895     3.124    -3.358     2.601
0130320008_01   40.742508  -74.255819    36.008      -1.988     2.902    -2.428     2.532
0130320009_01   40.528315  -74.193730   -22.011      -6.663    -3.377    -5.992    -4.437
0130320010_01   40.471312  -74.278993    -4.971      -4.292    -0.757    -4.090    -1.460
0130320011_01   40.320072  -74.446563    15.000      -0.310    -0.425    -0.218    -0.468
0130320012_01   40.704794  -73.791026   -15.364       4.283    -0.219     4.267     0.498
0130320015_01   40.849362  -73.315786    24.221      -1.421     2.803    -1.866     2.527
0130320017_01   40.997453  -73.842051    24.670      -3.482     1.530    -3.678     0.931
0130320018_01   40.689480  -74.096283   -23.540       2.729     2.040     2.363     2.467
0130320019_01   40.348265  -74.045041   -22.951      -5.937     0.148    -5.868    -0.843
0130320020_01   40.017080  -74.100998   -32.000       5.114    -3.220     5.590    -2.317
0130320021_01   40.830719  -73.926433   -25.000      -2.776    -0.417    -2.657    -0.871
0130320023_01   40.627324  -74.207084   -29.527       3.261     1.645     2.954     2.167
0130320024_01   40.707930  -73.860221   -11.161      -2.722    -0.443    -2.601    -0.888
0130320025_01   40.799067  -73.664494    23.537       1.738     0.852     1.578     1.130
0130320026_01   40.761740  -73.733483    20.856      -3.357     0.667    -3.414     0.099
0130320027_01   40.706608  -73.311220   -27.502      -1.564    -0.028    -1.538    -0.289
