Sat. Sep. 24, 2016             LANDSAT 5                 Time: 15:23
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19931427            Path/Row: 013 / 032

L0R Reference Image: L51XXX1096179141400_HDF.162682020
Acquisition Date: Jun 27, 1996

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       4.693     0.463     4.548     1.251
0130320003_01   40.797198  -72.637571   -32.354      -1.029     1.881    -1.332     1.679
0130320005_01   40.837345  -73.132134    -7.643      -5.505     1.179    -5.625     0.230
0130320010_01   40.471312  -74.278993    -4.971      -3.499     1.281    -3.665     0.670
0130320012_01   40.704794  -73.791026   -15.364       1.523    -3.004     2.010    -2.703
0130320014_01   41.031222  -73.762948    33.541      -1.353    -0.978    -1.168    -1.192
0130320015_01   40.849362  -73.315786    24.221      -4.505     1.298    -4.659     0.517
0130320016_01   40.246943  -74.117011    -0.020       5.087    -5.319     5.916    -4.378
0130320018_01   40.689480  -74.096283   -23.540       0.406     3.416    -0.179     3.435
0130320020_01   40.017080  -74.100998   -32.000       4.520    -2.124     4.815    -1.324
0130320021_01   40.830719  -73.926433   -25.000       2.044    -2.261     2.397    -1.882
0130320022_01   40.684149  -73.833291   -20.021      -1.199    -4.587    -0.404    -4.723
0130320023_01   40.627324  -74.207084   -29.527       1.922     1.832     1.583     2.130
0130320024_01   40.707930  -73.860221   -11.161      -4.221    -1.952    -3.829    -2.638
0130320025_01   40.799067  -73.664494    23.537      -2.375    -2.900    -1.849    -3.259
0130320026_01   40.761740  -73.733483    20.856      -3.951    -0.414    -3.823    -1.076
0130320027_01   40.706608  -73.311220   -27.502      -1.375     0.941    -1.515     0.695
0130320028_01   40.815703  -72.604548   -29.085       0.565     3.034     0.043     3.086
0130320029_01   40.857797  -73.395655    36.005      -2.392     2.133    -2.718     1.697
0130320030_01   40.813219  -72.576184   -27.298      -1.850     3.519    -2.419     3.155
