==============================================================================
==============================================================================
 Sep. 24 2016                  LANDSAT 5                       Time: 20:30
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609242737_05944                          Path / Row - 13 / 32
Reference Image: L51XXX1096179141400_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 98.3%
Rank   2 --  1.7%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320090   41.22897    -74.07207     0.30      0.01     0.30     1 
0130320092   41.22834    -73.99763     0.34      0.07     0.34     1 
0130320093   41.22801    -73.96041     0.02      0.04     0.05     1 
0130320094   41.22767    -73.92319    -0.13      0.08     0.15     1 
0130320095   41.22731    -73.88597     0.52     -0.10     0.53     2 
0130320096   41.22695    -73.84875    -0.02     -0.06     0.06     1 
0130320165   41.20357    -74.07243     0.00      0.15     0.15     1 
0130320166   41.20326    -74.03522     0.46      0.15     0.48     1 
0130320168   41.20261    -73.96081     0.16      0.05     0.17     1 
0130320170   41.20192    -73.88640     0.08      0.12     0.14     1 
0130320171   41.20155    -73.84919     0.23      0.03     0.23     1 
0130320172   41.20117    -73.81199     0.44     -0.07     0.45     1 
0130320173   41.20078    -73.77479     0.36      0.06     0.37     1 
0130320174   41.20038    -73.73758     0.23      0.03     0.23     1 
0130320175   41.19997    -73.70038     0.38      0.01     0.38     1 
0130320176   41.19954    -73.66318     0.49     -0.09     0.50     2 
0130320239   41.17846    -74.10998    -0.03      0.21     0.22     1 
0130320240   41.17817    -74.07279     0.46      0.08     0.47     1 
0130320245   41.17652    -73.88683     0.05      0.08     0.09     1 
0130320246   41.17616    -73.84964     0.43      0.06     0.43     1 
0130320247   41.17578    -73.81245     0.22     -0.06     0.23     1 
0130320248   41.17539    -73.77526     0.20      0.04     0.20     1 
0130320249   41.17499    -73.73807     0.33      0.04     0.33     1 
0130320250   41.17457    -73.70088     0.39     -0.03     0.39     1 
0130320251   41.17415    -73.66370     0.26     -0.03     0.26     1 
0130320252   41.17371    -73.62651     0.19     -0.03     0.19     1 
0130320253   41.17326    -73.58933     0.04     -0.02     0.05     1 
0130320255   41.17233    -73.51496     0.33      0.09     0.34     1 
0130320256   41.17184    -73.47778     0.17      0.05     0.17     1 
0130320314   41.15306    -74.11033     0.45      0.09     0.46     1 
0130320315   41.15277    -74.07315     0.48      0.09     0.49     1 
0130320317   41.15215    -73.99879     0.20      0.01     0.20     1 
0130320318   41.15182    -73.96161     0.08     -0.01     0.08     1 
0130320319   41.15148    -73.92444     0.28      0.05     0.28     1 
0130320321   41.15076    -73.85008     0.34     -0.02     0.34     1 
0130320322   41.15038    -73.81291     0.41     -0.06     0.41     1 
0130320323   41.14999    -73.77573     0.20      0.04     0.21     1 
0130320324   41.14959    -73.73856     0.27      0.08     0.28     1 
0130320325   41.14918    -73.70139     0.29      0.08     0.30     1 
0130320326   41.14875    -73.66421     0.08      0.07     0.11     1 
0130320327   41.14831    -73.62704     0.37      0.02     0.37     1 
0130320328   41.14787    -73.58987     0.11      0.04     0.12     1 
0130320329   41.14740    -73.55270     0.21      0.02     0.21     1 
0130320330   41.14693    -73.51553     0.22      0.02     0.22     1 
0130320331   41.14645    -73.47837     0.26     -0.05     0.27     1 
0130320332   41.14595    -73.44120     0.27     -0.00     0.27     1 
0130320333   41.14544    -73.40403     0.27     -0.03     0.27     1 
0130320334   41.14492    -73.36687     0.05     -0.04     0.06     1 
0130320335   41.14439    -73.32971     0.26     -0.00     0.26     1 
0130320336   41.14384    -73.29254     0.11     -0.03     0.12     1 
0130320337   41.14328    -73.25538     0.06     -0.06     0.08     1 
0130320391   41.12706    -74.03634     0.14      0.02     0.14     1 
0130320392   41.12675    -73.99918     0.51      0.05     0.51     2 
0130320393   41.12642    -73.96201     0.30     -0.08     0.31     1 
0130320394   41.12608    -73.92485     0.40     -0.04     0.40     1 
0130320396   41.12536    -73.85053     0.52     -0.01     0.52     2 
