Thu. Sep. 22, 2016             LANDSAT 5                 Time: 17:24
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19875912            Path/Row: 013 / 032

L0R Reference Image: L51XXX1098232150100_HDF.162662220
Acquisition Date: Aug 20, 1998

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       2.995    -0.180     2.994     0.327
0130320002_01   40.985966  -74.209579   109.451       0.587     2.618     0.118     2.675
0130320004_01   41.050400  -73.531986   -15.842      -0.472     1.412    -0.711     1.313
0130320005_01   40.837345  -73.132134    -7.643      -0.687    -6.790     0.463    -6.808
0130320006_01   40.577940  -74.178956   -28.593       4.298     1.623     3.944     2.318
0130320008_01   40.742508  -74.255819    36.008      -0.993     3.779    -1.634     3.556
0130320009_01   40.528315  -74.193730   -22.011      -5.181    -1.268    -4.911    -2.122
0130320010_01   40.471312  -74.278993    -4.971      -2.436    -0.138    -2.397    -0.548
0130320011_01   40.320072  -74.446563    15.000       3.330     0.398     3.192     0.949
0130320012_01   40.704794  -73.791026   -15.364       2.953    -1.207     3.102    -0.695
0130320014_01   41.031222  -73.762948    33.541      -2.437    -0.032    -2.409    -0.440
0130320015_01   40.849362  -73.315786    24.221      -2.974     3.833    -3.578     3.280
0130320016_01   40.246943  -74.117011    -0.020       5.941    -5.060     6.693    -3.989
0130320017_01   40.997453  -73.842051    24.670      -6.279     1.591    -6.470     0.516
0130320018_01   40.689480  -74.096283   -23.540       0.035    -1.297     0.236    -1.275
0130320019_01   40.348265  -74.045041   -22.951      -5.968    -2.547    -5.467    -3.515
0130320020_01   40.017080  -74.100998   -32.000       1.765     1.086     1.542     1.366
0130320021_01   40.830719  -73.926433   -25.000       0.377    -1.975     0.688    -1.886
0130320022_01   40.684149  -73.833291   -20.021      -1.891     1.332    -2.100     0.995
0130320023_01   40.627324  -74.207084   -29.527       4.255    -0.389     4.240     0.328
