Sat. Sep. 24, 2016             LANDSAT 5                 Time: 06:19
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19921326            Path/Row: 013 / 032

L0R Reference Image: L51XXX1098248150100_HDF.162681118
Acquisition Date: Sep 05, 1998

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       1.176     0.559     1.069     0.750
0130320003_01   40.797198  -72.637571   -32.354       3.578     4.664     2.748     5.202
0130320004_01   41.050400  -73.531986   -15.842       1.098     0.157     1.054     0.339
0130320005_01   40.837345  -73.132134    -7.643      -2.334    -3.205    -1.763    -3.551
0130320006_01   40.577940  -74.178956   -28.593       5.452    -0.818     5.507     0.109
0130320008_01   40.742508  -74.255819    36.008      -0.360     4.780    -1.164     4.651
0130320009_01   40.528315  -74.193730   -22.011      -1.997    -2.379    -1.573    -2.681
0130320010_01   40.471312  -74.278993    -4.971      -0.903    -0.482    -0.813    -0.626
0130320011_01   40.320072  -74.446563    15.000       1.942    -2.712     2.365    -2.347
0130320012_01   40.704794  -73.791026   -15.364       0.824    -2.705     1.264    -2.528
0130320014_01   41.031222  -73.762948    33.541      -2.126    -0.547    -2.007    -0.895
0130320015_01   40.849362  -73.315786    24.221      -5.227     2.661    -5.600     1.747
0130320016_01   40.246943  -74.117011    -0.020       4.337    -5.451     5.190    -4.643
0130320017_01   40.997453  -73.842051    24.670      -2.792     1.035    -2.929     0.552
0130320018_01   40.689480  -74.096283   -23.540       0.235     0.955     0.067     0.980
0130320019_01   40.348265  -74.045041   -22.951      -5.424    -2.437    -4.939    -3.314
0130320020_01   40.017080  -74.100998   -32.000       0.954    -0.983     1.103    -0.808
0130320021_01   40.830719  -73.926433   -25.000       0.355    -1.913     0.668    -1.826
0130320022_01   40.684149  -73.833291   -20.021      -1.940     1.296    -2.133     0.952
0130320023_01   40.627324  -74.207084   -29.527       2.036    -1.990     2.336    -1.620
