Mon. Sep. 19, 2016             LANDSAT 5                 Time: 01:05
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19819655            Path/Row: 013 / 032

L0R Reference Image: L51AAA1099235151400_HDF.162630558
Acquisition Date: Aug 23, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       2.931    -3.358     3.454    -2.818
0130320002_01   40.985966  -74.209579   109.451      -6.471     1.345    -6.603     0.241
0130320003_01   40.797198  -72.637571   -32.354       3.447    -1.956     3.728    -1.348
0130320004_01   41.050400  -73.531986   -15.842      -2.918    -1.410    -2.640    -1.880
0130320005_01   40.837345  -73.132134    -7.643      -2.996    -0.480    -2.873    -0.977
0130320006_01   40.577940  -74.178956   -28.593       4.604    -1.251     4.749    -0.458
0130320008_01   40.742508  -74.255819    36.008       0.274     5.303    -0.623     5.273
0130320009_01   40.528315  -74.193730   -22.011      -4.798    -0.367    -4.667    -1.169
0130320010_01   40.471312  -74.278993    -4.971      -2.239    -0.591    -2.107    -0.959
0130320011_01   40.320072  -74.446563    15.000       2.590    -1.904     2.874    -1.440
0130320012_01   40.704794  -73.791026   -15.364       6.472     4.426     5.634     5.452
0130320013_01   40.905181  -73.115979    36.966      -4.546    -0.433    -4.409    -1.191
0130320014_01   41.031222  -73.762948    33.541      -4.004    -0.640    -3.839    -1.303
0130320015_01   40.849362  -73.315786    24.221      -4.420     0.099    -4.374    -0.646
0130320016_01   40.246943  -74.117011    -0.020       4.785    -4.133     5.415    -3.267
0130320017_01   40.997453  -73.842051    24.670      -5.089    -0.145    -4.991    -0.997
0130320018_01   40.689480  -74.096283   -23.540       5.087    -1.209     5.218    -0.337
0130320019_01   40.348265  -74.045041   -22.951      -5.962    -1.710    -5.588    -2.690
0130320020_01   40.017080  -74.100998   -32.000       0.352    -1.782     0.648    -1.697
0130320021_01   40.830719  -73.926433   -25.000      -0.571    -1.557    -0.301    -1.631
