==============================================================================
==============================================================================
Mon. Sep. 19 2016                  LANDSAT 5                       Time: 06:07
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609181821_03841                          Path / Row - 13 / 32
Reference Image: L51AAA1099235151400_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320094   41.26706    -74.10520     0.06      0.09     0.10     1 
0130320095   41.26676    -74.06795     0.24     -0.16     0.29     1 
0130320168   41.24194    -74.14278     0.07      0.14     0.16     1 
0130320169   41.24166    -74.10555    -0.05      0.15     0.16     1 
0130320172   41.24074    -73.99386     0.25      0.10     0.26     1 
0130320175   41.23971    -73.88218     0.11      0.00     0.11     1 
0130320176   41.23934    -73.84495    -0.07      0.00     0.07     1 
0130320243   41.21654    -74.14311     0.32     -0.07     0.33     1 
0130320244   41.21626    -74.10589     0.34     -0.01     0.34     1 
0130320245   41.21597    -74.06868     0.11      0.07     0.13     1 
0130320246   41.21566    -74.03146     0.34      0.10     0.35     1 
0130320247   41.21534    -73.99425     0.24      0.13     0.27     1 
0130320248   41.21501    -73.95703     0.13      0.02     0.13     1 
0130320250   41.21431    -73.88261     0.31      0.08     0.32     1 
0130320251   41.21395    -73.84540     0.25     -0.05     0.26     1 
0130320252   41.21357    -73.80819     0.27     -0.05     0.27     1 
0130320253   41.21317    -73.77098     0.15      0.01     0.15     1 
0130320254   41.21277    -73.73377     0.20     -0.05     0.21     1 
0130320255   41.21236    -73.69656     0.31     -0.05     0.32     1 
0130320317   41.19142    -74.18064     0.04      0.12     0.13     1 
0130320318   41.19114    -74.14344     0.09      0.00     0.09     1 
0130320320   41.19057    -74.06904     0.23      0.20     0.30     1 
0130320321   41.19026    -74.03184     0.24      0.10     0.26     1 
0130320322   41.18994    -73.99464     0.20      0.02     0.21     1 
0130320323   41.18961    -73.95744    -0.01      0.01     0.01     1 
0130320325   41.18891    -73.88304    -0.06      0.01     0.06     1 
0130320326   41.18855    -73.84584     0.23      0.06     0.24     1 
0130320328   41.18778    -73.77145     0.18      0.00     0.18     1 
0130320329   41.18738    -73.73426     0.22      0.07     0.23     1 
0130320330   41.18696    -73.69706     0.27      0.10     0.29     1 
0130320331   41.18653    -73.65987     0.08     -0.03     0.09     1 
0130320332   41.18610    -73.62268     0.16     -0.03     0.16     1 
0130320333   41.18564    -73.58549    -0.01      0.03     0.03     1 
0130320334   41.18518    -73.54829     0.10     -0.09     0.13     1 
0130320335   41.18471    -73.51111     0.19      0.05     0.19     1 
0130320336   41.18422    -73.47392     0.09     -0.02     0.09     1 
0130320392   41.16602    -74.18096     0.19      0.12     0.22     1 
0130320393   41.16575    -74.14377    -0.03      0.04     0.05     1 
0130320394   41.16546    -74.10658     0.15      0.14     0.20     1 
0130320397   41.16454    -73.99502     0.28      0.02     0.28     1 
0130320400   41.16352    -73.88347    -0.22      0.12     0.24     1 
0130320401   41.16315    -73.84629     0.19     -0.00     0.19     1 
0130320402   41.16277    -73.80911     0.10      0.01     0.10     1 
0130320403   41.16238    -73.77193     0.15      0.09     0.18     1 
0130320404   41.16198    -73.73475     0.29      0.02     0.29     1 
0130320405   41.16156    -73.69757     0.32      0.07     0.32     1 
0130320406   41.16114    -73.66039     0.14      0.00     0.14     1 
0130320407   41.16070    -73.62321     0.16      0.19     0.25     1 
0130320408   41.16025    -73.58603     0.15      0.00     0.15     1 
0130320409   41.15979    -73.54886     0.14     -0.09     0.16     1 
0130320410   41.15931    -73.51168     0.23      0.00     0.23     1 
0130320411   41.15883    -73.47451     0.27     -0.00     0.27     1 
0130320412   41.15833    -73.43733     0.23     -0.02     0.23     1 
0130320413   41.15782    -73.40016     0.27     -0.05     0.28     1 
0130320414   41.15729    -73.36299     0.20     -0.01     0.20     1 
0130320415   41.15676    -73.32582     0.31     -0.07     0.32     1 
