Thu. Sep. 22, 2016             LANDSAT 5                 Time: 18:44
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19877218            Path/Row: 013 / 032

L0R Reference Image: L51XXX1000190150100_HDF.162662342
Acquisition Date: Jul 08, 2000

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607      -0.030    -1.556     0.233    -1.540
0130320002_01   40.985966  -74.209579   109.451      -6.436     4.433    -7.089     3.284
0130320004_01   41.050400  -73.531986   -15.842      -1.363     1.470    -1.591     1.218
0130320005_01   40.837345  -73.132134    -7.643      -3.880    -1.700    -3.537    -2.331
0130320006_01   40.577940  -74.178956   -28.593       5.536    -3.197     5.998    -2.215
0130320008_01   40.742508  -74.255819    36.008      -2.758     4.070    -3.405     3.546
0130320009_01   40.528315  -74.193730   -22.011      -6.331    -0.632    -6.131    -1.693
0130320010_01   40.471312  -74.278993    -4.971      -1.972    -1.213    -1.736    -1.528
0130320011_01   40.320072  -74.446563    15.000      -1.467     1.136    -1.638     0.871
0130320012_01   40.704794  -73.791026   -15.364       3.632    -2.133     3.941    -1.489
0130320014_01   41.031222  -73.762948    33.541      -2.698     0.752    -2.785     0.286
0130320015_01   40.849362  -73.315786    24.221      -1.462     2.361    -1.840     2.080
0130320016_01   40.246943  -74.117011    -0.020       1.307    -2.696     1.747    -2.435
0130320018_01   40.689480  -74.096283   -23.540       4.989     1.045     4.741     1.873
0130320019_01   40.348265  -74.045041   -22.951      -6.809    -2.162    -6.342    -3.284
0130320020_01   40.017080  -74.100998   -32.000       3.488     0.571     3.340     1.155
0130320021_01   40.830719  -73.926433   -25.000       1.745    -2.817     2.197    -2.481
0130320022_01   40.684149  -73.833291   -20.021      -0.362    -0.358    -0.295    -0.415
0130320023_01   40.627324  -74.207084   -29.527       1.290     0.808     1.136     1.014
0130320024_01   40.707930  -73.860221   -11.161      -0.708    -2.737    -0.234    -2.818
