==============================================================================
==============================================================================
Thu. Sep. 22 2016                  LANDSAT 5                       Time: 23:47
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609171697_07502                          Path / Row - 13 / 32
Reference Image: L51XXX1000190150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320016   41.27901    -74.14874     0.45      0.03     0.45     1 
0130320091   41.25334    -74.14907    -0.01      0.03     0.03     1 
0130320092   41.25306    -74.11183    -0.11      0.15     0.18     1 
0130320094   41.25246    -74.03736     0.23      0.21     0.32     1 
0130320095   41.25214    -74.00013     0.35      0.17     0.39     1 
0130320096   41.25181    -73.96289     0.02     -0.06     0.06     1 
0130320167   41.22739    -74.11218    -0.09      0.10     0.13     1 
0130320168   41.22710    -74.07496     0.10      0.10     0.14     1 
0130320170   41.22648    -74.00052     0.26      0.10     0.28     1 
0130320171   41.22615    -73.96330    -0.03      0.09     0.09     1 
0130320173   41.22545    -73.88886     0.29     -0.02     0.29     1 
0130320174   41.22509    -73.85165    -0.02     -0.08     0.08     1 
0130320175   41.22471    -73.81443     0.17      0.05     0.17     1 
0130320176   41.22432    -73.77721    -0.16      0.05     0.17     1 
0130320241   41.20200    -74.14974    -0.12      0.11     0.17     1 
0130320242   41.20172    -74.11253     0.03      0.04     0.05     1 
0130320243   41.20143    -74.07532    -0.14      0.15     0.21     1 
0130320244   41.20112    -74.03812     0.39      0.20     0.44     1 
0130320245   41.20081    -74.00091     0.21      0.23     0.31     1 
0130320246   41.20048    -73.96371     0.02      0.11     0.11     1 
0130320248   41.19978    -73.88930     0.01      0.11     0.11     1 
0130320249   41.19942    -73.85209     0.28      0.05     0.29     1 
0130320250   41.19904    -73.81489     0.37     -0.02     0.37     1 
0130320251   41.19865    -73.77769     0.29      0.08     0.30     1 
0130320252   41.19825    -73.74049     0.23     -0.01     0.23     1 
0130320253   41.19784    -73.70329     0.40      0.10     0.41     1 
0130320254   41.19741    -73.66609     0.39      0.06     0.40     1 
0130320255   41.19698    -73.62889     0.14      0.06     0.15     1 
0130320256   41.19653    -73.59169    -0.04      0.02     0.05     1 
0130320257   41.19607    -73.55449     0.21     -0.05     0.22     1 
0130320316   41.17633    -74.15007     0.21      0.07     0.22     1 
0130320317   41.17605    -74.11288    -0.12      0.16     0.20     1 
0130320318   41.17576    -74.07568     0.38      0.13     0.40     1 
0130320320   41.17514    -74.00130     0.38      0.13     0.40     1 
0130320321   41.17481    -73.96411    -0.02      0.12     0.12     1 
0130320323   41.17412    -73.88973     0.15      0.02     0.16     1 
0130320325   41.17338    -73.81535     0.29      0.03     0.29     1 
0130320326   41.17299    -73.77817     0.28      0.10     0.29     1 
0130320330   41.17131    -73.62942     0.25      0.04     0.25     1 
0130320331   41.17086    -73.59224     0.22      0.05     0.23     1 
0130320333   41.16993    -73.51788     0.28      0.02     0.28     1 
0130320334   41.16945    -73.48070     0.31      0.05     0.31     1 
0130320335   41.16895    -73.44352     0.19     -0.02     0.19     1 
0130320336   41.16844    -73.40634     0.22      0.05     0.22     1 
0130320337   41.16792    -73.36916     0.22     -0.06     0.23     1 
0130320390   41.15093    -74.18758     0.31      0.18     0.36     1 
0130320391   41.15066    -74.15040     0.13      0.05     0.14     1 
0130320392   41.15038    -74.11322     0.41      0.08     0.42     1 
0130320393   41.15009    -74.07604     0.39      0.14     0.42     1 
0130320395   41.14947    -74.00169     0.19      0.09     0.21     1 
0130320396   41.14914    -73.96451     0.11      0.03     0.11     1 
0130320397   41.14880    -73.92734     0.12      0.07     0.14     1 
0130320399   41.14808    -73.85299     0.17      0.13     0.21     1 
0130320401   41.14732    -73.77864     0.28      0.07     0.29     1 
0130320402   41.14692    -73.74147     0.27      0.11     0.29     1 
0130320404   41.14608    -73.66713     0.01      0.12     0.12     1 
