Sun. Sep. 18, 2016             LANDSAT 5                 Time: 12:57
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19804772            Path/Row: 013 / 032

L0R Reference Image: L51XXX1000238150100_HDF.162621755
Acquisition Date: Aug 25, 2000

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607      -0.210    -0.074    -0.195    -0.108
0130320002_01   40.985966  -74.209579   109.451      -5.389     3.698    -5.933     2.737
0130320003_01   40.797198  -72.637571   -32.354       2.085    -0.378     2.119    -0.020
0130320004_01   41.050400  -73.531986   -15.842      -0.749     0.771    -0.868     0.634
0130320005_01   40.837345  -73.132134    -7.643      -3.757    -2.282    -3.318    -2.883
0130320006_01   40.577940  -74.178956   -28.593       2.902    -2.535     3.288    -2.008
0130320007_01   41.024323  -74.206980    78.507      -4.726     5.416    -5.569     4.541
0130320008_01   40.742508  -74.255819    36.008      -1.588     2.403    -1.971     2.100
0130320010_01   40.471312  -74.278993    -4.971      -1.427     0.876    -1.554     0.622
0130320011_01   40.320072  -74.446563    15.000       0.224    -0.239     0.261    -0.198
0130320012_01   40.704794  -73.791026   -15.364       4.169    -2.582     4.544    -1.841
0130320014_01   41.031222  -73.762948    33.541      -2.049     0.783    -2.150     0.427
0130320015_01   40.849362  -73.315786    24.221      -4.082     2.401    -4.427     1.678
0130320016_01   40.246943  -74.117011    -0.020      -1.124    -2.365    -0.706    -2.521
0130320018_01   40.689480  -74.096283   -23.540       3.660     0.082     3.592     0.698
0130320019_01   40.348265  -74.045041   -22.951      -1.936     1.071    -2.089     0.728
0130320020_01   40.017080  -74.100998   -32.000       3.295    -1.671     3.530    -1.088
0130320021_01   40.830719  -73.926433   -25.000       1.299    -2.021     1.621    -1.773
0130320022_01   40.684149  -73.833291   -20.021       2.658    -2.412     3.027    -1.928
0130320023_01   40.627324  -74.207084   -29.527       2.342     1.624     2.034     1.995
