Sat. Sep. 17, 2016             LANDSAT 5                 Time: 10:16
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19773007            Path/Row: 013 / 032

L0R Reference Image: L51LGS1001208150100_HDF.162611513
Acquisition Date: Jul 27, 2001

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       1.482    -1.748     1.784    -1.469
0130320002_01   40.985966  -74.209579   109.451      -3.063     2.875    -3.545     2.311
0130320003_01   40.797198  -72.637571   -32.354      -1.337    -2.193    -0.923    -2.383
0130320004_01   41.050400  -73.531986   -15.842      -2.756    -0.468    -2.653    -0.927
0130320005_01   40.837345  -73.132134    -7.643      -1.113    -2.045    -0.748    -2.203
0130320007_01   41.024323  -74.206980    78.507      -4.097     6.679    -5.204     5.886
0130320008_01   40.742508  -74.255819    36.008      -1.921     4.704    -2.728     4.305
0130320009_01   40.528315  -74.193730   -22.011      -6.544     0.869    -6.632    -0.252
0130320010_01   40.471312  -74.278993    -4.971      -3.943    -0.734    -3.801    -1.395
0130320011_01   40.320072  -74.446563    15.000       0.458    -1.962     0.739    -1.865
0130320012_01   40.704794  -73.791026   -15.364       4.247    -1.123     4.354    -0.396
0130320014_01   41.031222  -73.762948    33.541      -4.336     0.486    -4.380    -0.254
0130320015_01   40.849362  -73.315786    24.221      -3.092     1.006    -3.220     0.470
0130320016_01   40.246943  -74.117011    -0.020      -1.806    -2.114    -1.452    -2.394
0130320018_01   40.689480  -74.096283   -23.540       3.584     0.779     3.367     1.364
0130320019_01   40.348265  -74.045041   -22.951      -4.603    -1.967    -4.231    -2.720
0130320020_01   40.017080  -74.100998   -32.000       2.167    -0.669     2.223    -0.298
0130320021_01   40.830719  -73.926433   -25.000       1.820    -4.174     2.469    -3.813
0130320022_01   40.684149  -73.833291   -20.021       2.285     2.806     1.756     3.146
0130320023_01   40.627324  -74.207084   -29.527       0.919    -0.281     0.915    -0.129
