==============================================================================
==============================================================================
 Sep. 17 2016                  LANDSAT 5                       Time: 15:17
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609161483_09007                          Path / Row - 13 / 32
Reference Image: L51LGS1001208150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320093   41.26115    -74.10958     0.17      0.01     0.17     1 
0130320094   41.26086    -74.07269     0.30     -0.08     0.31     1 
0130320095   41.26055    -74.03581     0.16      0.13     0.21     1 
0130320096   41.26024    -73.99893     0.33      0.03     0.33     1 
0130320167   41.23576    -74.14679    -0.05      0.10     0.11     1 
0130320168   41.23548    -74.10993    -0.18      0.09     0.20     1 
0130320169   41.23519    -74.07306     0.27      0.06     0.28     1 
0130320171   41.23457    -73.99932     0.29      0.06     0.29     1 
0130320172   41.23425    -73.96246    -0.24      0.15     0.28     1 
0130320173   41.23391    -73.92559     0.03      0.04     0.05     1 
0130320174   41.23356    -73.88872     0.05      0.05     0.07     1 
0130320175   41.23320    -73.85186    -0.18      0.00     0.18     1 
0130320176   41.23282    -73.81500    -0.21     -0.04     0.22     1 
0130320242   41.21009    -74.14713    -0.08      0.04     0.09     1 
0130320243   41.20981    -74.11027     0.18     -0.07     0.19     1 
0130320244   41.20952    -74.07342    -0.11      0.06     0.12     1 
0130320245   41.20922    -74.03657     0.17      0.12     0.21     1 
0130320246   41.20890    -73.99971     0.13      0.05     0.14     1 
0130320247   41.20858    -73.96286    -0.01      0.06     0.07     1 
0130320249   41.20789    -73.88916     0.10      0.10     0.14     1 
0130320250   41.20753    -73.85231     0.22      0.02     0.22     1 
0130320251   41.20716    -73.81546     0.22     -0.06     0.23     1 
0130320253   41.20637    -73.74176     0.21     -0.01     0.21     1 
0130320254   41.20596    -73.70492     0.42      0.02     0.42     1 
0130320255   41.20555    -73.66807     0.37     -0.07     0.38     1 
0130320256   41.20511    -73.63122     0.26     -0.05     0.27     1 
0130320257   41.20467    -73.59438    -0.09     -0.02     0.09     1 
0130320316   41.18469    -74.18430     0.06      0.03     0.06     1 
0130320317   41.18442    -74.14746     0.18      0.00     0.18     1 
0130320318   41.18414    -74.11062     0.12     -0.02     0.12     1 
0130320319   41.18385    -74.07378     0.29      0.08     0.30     1 
0130320320   41.18355    -74.03694     0.35      0.16     0.39     1 
0130320321   41.18323    -74.00011     0.14      0.07     0.15     1 
0130320322   41.18291    -73.96327     0.03      0.20     0.20     1 
0130320324   41.18222    -73.88959    -0.01      0.02     0.02     1 
0130320325   41.18186    -73.85276     0.25      0.06     0.26     1 
0130320326   41.18149    -73.81592     0.25      0.02     0.25     1 
0130320327   41.18110    -73.77909     0.13      0.06     0.14     1 
0130320328   41.18071    -73.74226     0.28      0.04     0.28     1 
0130320329   41.18030    -73.70542     0.35     -0.01     0.35     1 
0130320330   41.17988    -73.66859     0.14     -0.00     0.14     1 
0130320331   41.17945    -73.63176     0.11      0.02     0.12     1 
0130320332   41.17900    -73.59493     0.01      0.02     0.02     1 
0130320333   41.17855    -73.55810    -0.32     -0.16     0.36     1 
0130320334   41.17808    -73.52127     0.18      0.02     0.18     1 
0130320335   41.17760    -73.48444     0.20      0.01     0.20     1 
0130320336   41.17711    -73.44761     0.07     -0.11     0.13     1 
0130320337   41.17661    -73.41079     0.11      0.06     0.13     1 
0130320391   41.15902    -74.18462     0.14      0.04     0.14     1 
0130320392   41.15875    -74.14779    -0.15     -0.04     0.15     1 
0130320393   41.15847    -74.11097     0.15      0.06     0.17     1 
0130320394   41.15818    -74.07414     0.40      0.14     0.42     1 
0130320396   41.15757    -74.00050     0.25      0.12     0.27     1 
0130320397   41.15724    -73.96367     0.01      0.00     0.01     1 
0130320398   41.15690    -73.92685     0.14      0.16     0.21     1 
0130320400   41.15619    -73.85321     0.23      0.07     0.24     1 
