Sat. Sep. 17, 2016             LANDSAT 5                 Time: 08:15
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19770546            Path/Row: 013 / 032

L0R Reference Image: L51LGS1001256150100_HDF.162611312
Acquisition Date: Sep 13, 2001

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       1.702    -2.852     2.157    -2.526
0130320002_01   40.985966  -74.209579   109.451      -1.470     2.207    -1.818     1.928
0130320004_01   41.050400  -73.531986   -15.842      -1.063     2.901    -1.535     2.681
0130320005_01   40.837345  -73.132134    -7.643      -1.074     1.720    -1.348     1.515
0130320006_01   40.577940  -74.178956   -28.593       6.779    -0.687     6.798     0.464
0130320007_01   41.024323  -74.206980    78.507      -4.653     3.517    -5.175     2.686
0130320008_01   40.742508  -74.255819    36.008       1.393     3.236     0.828     3.424
0130320009_01   40.528315  -74.193730   -22.011      -2.612    -0.851    -2.430    -1.278
0130320010_01   40.471312  -74.278993    -4.971      -0.182     1.688    -0.463     1.633
0130320011_01   40.320072  -74.446563    15.000       0.717     0.019     0.705     0.140
0130320012_01   40.704794  -73.791026   -15.364       1.303    -1.352     1.513    -1.113
0130320013_01   40.905181  -73.115979    36.966      -4.596     2.433    -4.940     1.625
0130320014_01   41.031222  -73.762948    33.541      -1.717     1.624    -1.964     1.312
0130320015_01   40.849362  -73.315786    24.221      -2.194     3.329    -2.722     2.912
0130320016_01   40.246943  -74.117011    -0.020      -1.922    -5.211    -1.013    -5.459
0130320017_01   40.997453  -73.842051    24.670      -4.704     1.261    -4.847     0.454
0130320018_01   40.689480  -74.096283   -23.540       3.899     1.576     3.578     2.209
0130320019_01   40.348265  -74.045041   -22.951      -3.987    -1.249    -3.718    -1.903
0130320020_01   40.017080  -74.100998   -32.000       2.436    -0.129     2.423     0.285
0130320021_01   40.830719  -73.926433   -25.000       0.604    -2.196     0.966    -2.063
