Fri. Sep. 16, 2016             LANDSAT 5                 Time: 07:58
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19740011            Path/Row: 013 / 032

L0R Reference Image: L51LGS1002227150100_HDF.162601252
Acquisition Date: Aug 15, 2002

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320002_01   40.985966  -74.209579   109.451      -3.339     4.654    -4.070     4.029
0130320003_01   40.797198  -72.637571   -32.354       2.218    -1.378     2.417    -0.987
0130320004_01   41.050400  -73.531986   -15.842      -1.730     2.200    -2.073     1.880
0130320006_01   40.577940  -74.178956   -28.593       6.282    -1.795     6.492    -0.717
0130320008_01   40.742508  -74.255819    36.008      -2.127     3.874    -2.745     3.462
0130320009_01   40.528315  -74.193730   -22.011      -4.991    -2.349    -4.524    -3.152
0130320010_01   40.471312  -74.278993    -4.971      -3.546    -0.806    -3.359    -1.389
0130320011_01   40.320072  -74.446563    15.000       1.412     0.522     1.303     0.751
0130320012_01   40.704794  -73.791026   -15.364       1.601    -2.314     1.966    -2.013
0130320014_01   41.031222  -73.762948    33.541      -2.009     3.126    -2.503     2.745
0130320015_01   40.849362  -73.315786    24.221      -4.487     2.991    -4.924     2.197
0130320016_01   40.246943  -74.117011    -0.020      -1.777    -4.089    -1.063    -4.328
0130320017_01   40.997453  -73.842051    24.670      -6.152     3.835    -6.705     2.752
0130320018_01   40.689480  -74.096283   -23.540       2.649    -0.139     2.634     0.306
0130320019_01   40.348265  -74.045041   -22.951      -6.483    -1.919    -6.066    -2.979
0130320020_01   40.017080  -74.100998   -32.000       2.962    -0.785     3.051    -0.276
0130320021_01   40.830719  -73.926433   -25.000       0.077    -1.704     0.361    -1.667
0130320022_01   40.684149  -73.833291   -20.021       0.477    -3.419     1.044    -3.290
0130320023_01   40.627324  -74.207084   -29.527       3.609    -1.104     3.743    -0.484
0130320024_01   40.707930  -73.860221   -11.161      -2.104    -2.352    -1.679    -2.671
