==============================================================================
==============================================================================
Fri. Sep. 16 2016                  LANDSAT 5                       Time: 12:59
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609151416_01467                          Path / Row - 13 / 32
Reference Image: L51LGS1002227150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320093   41.25646    -74.13184    -0.06      0.25     0.25     1 
0130320094   41.25617    -74.09460    -0.13      0.12     0.18     1 
0130320095   41.25587    -74.05737     0.36     -0.02     0.36     1 
0130320167   41.23133    -74.16940    -0.08      0.18     0.20     1 
0130320168   41.23106    -74.13218    -0.09      0.01     0.09     1 
0130320169   41.23077    -74.09495     0.17      0.12     0.21     1 
0130320170   41.23047    -74.05773     0.21      0.07     0.22     1 
0130320172   41.22984    -73.98329    -0.03      0.10     0.10     1 
0130320174   41.22916    -73.90884     0.08      0.11     0.14     1 
0130320175   41.22880    -73.87162     0.28     -0.00     0.28     1 
0130320176   41.22843    -73.83441     0.18     -0.13     0.22     1 
0130320242   41.20593    -74.16972     0.00      0.02     0.02     1 
0130320243   41.20566    -74.13251    -0.09      0.06     0.11     1 
0130320244   41.20537    -74.09530    -0.18      0.03     0.18     1 
0130320245   41.20507    -74.05810     0.27      0.28     0.39     1 
0130320246   41.20476    -74.02089     0.25      0.16     0.30     1 
0130320247   41.20444    -73.98368     0.20      0.18     0.27     1 
0130320250   41.20340    -73.87206     0.31      0.04     0.31     1 
0130320251   41.20303    -73.83486     0.07     -0.02     0.07     1 
0130320252   41.20265    -73.79765     0.25      0.06     0.26     1 
0130320253   41.20225    -73.76045     0.25      0.22     0.33     1 
0130320254   41.20185    -73.72325     0.16      0.07     0.18     1 
0130320255   41.20143    -73.68604     0.31      0.10     0.33     1 
0130320317   41.18053    -74.17005     0.09     -0.02     0.09     1 
0130320318   41.18026    -74.13285    -0.16      0.12     0.20     1 
0130320319   41.17997    -74.09565     0.24      0.08     0.25     1 
0130320320   41.17967    -74.05846     0.33      0.11     0.35     1 
0130320321   41.17936    -74.02127     0.33      0.06     0.33     1 
0130320322   41.17904    -73.98407     0.30      0.09     0.32     1 
0130320324   41.17836    -73.90969     0.06      0.04     0.07     1 
0130320325   41.17800    -73.87250     0.13      0.11     0.17     1 
0130320326   41.17763    -73.83531     0.22      0.09     0.24     1 
0130320327   41.17725    -73.79812     0.31     -0.01     0.31     1 
0130320328   41.17686    -73.76093     0.18      0.04     0.18     1 
0130320329   41.17645    -73.72374     0.31      0.06     0.31     1 
0130320330   41.17603    -73.68655     0.04      0.23     0.23     1 
0130320331   41.17560    -73.64936     0.16      0.02     0.16     1 
0130320332   41.17516    -73.61218     0.19      0.02     0.19     1 
0130320335   41.17376    -73.50062     0.22     -0.04     0.23     1 
0130320392   41.15513    -74.17037    -0.12     -0.04     0.13     1 
0130320393   41.15486    -74.13318     0.07      0.04     0.08     1 
0130320394   41.15457    -74.09600     0.22      0.08     0.23     1 
0130320395   41.15427    -74.05882     0.37      0.17     0.41     1 
0130320396   41.15396    -74.02164     0.38      0.12     0.39     1 
0130320397   41.15364    -73.98447     0.22      0.09     0.23     1 
0130320398   41.15331    -73.94729     0.10      0.03     0.11     1 
0130320400   41.15261    -73.87293    -0.02      0.08     0.08     1 
0130320401   41.15223    -73.83576     0.32      0.04     0.32     1 
0130320402   41.15185    -73.79858     0.22      0.04     0.22     1 
0130320403   41.15146    -73.76140     0.15      0.09     0.17     1 
0130320404   41.15105    -73.72423     0.31      0.11     0.33     1 
0130320405   41.15064    -73.68706     0.16      0.07     0.18     1 
0130320406   41.15021    -73.64988     0.25      0.09     0.26     1 
0130320407   41.14976    -73.61271     0.07      0.05     0.09     1 
0130320412   41.14738    -73.42687     0.10      0.05     0.11     1 
0130320414   41.14634    -73.35254     0.13      0.03     0.14     1 
