Thu. Sep. 15, 2016             LANDSAT 5                 Time: 01:15
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19701981            Path/Row: 013 / 032

L0R Reference Image: L51LGS1003182150100_HDF.162590612
Acquisition Date: Jul 01, 2003

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       0.998    -1.644     1.261    -1.452
0130320002_01   40.985966  -74.209579   109.451      -1.151     1.464    -1.381     1.249
0130320003_01   40.797198  -72.637571   -32.354      -3.134    -0.453    -3.013    -0.975
0130320004_01   41.050400  -73.531986   -15.842      -2.299     2.934    -2.760     2.505
0130320005_01   40.837345  -73.132134    -7.643      -2.645    -0.896    -2.456    -1.329
0130320006_01   40.577940  -74.178956   -28.593       5.871    -1.846     6.097    -0.830
0130320008_01   40.742508  -74.255819    36.008      -2.734     2.700    -3.150     2.201
0130320010_01   40.471312  -74.278993    -4.971      -2.116    -0.912    -1.931    -1.255
0130320011_01   40.320072  -74.446563    15.000      -1.650    -0.963    -1.463    -1.228
0130320012_01   40.704794  -73.791026   -15.364       2.634    -0.583     2.694    -0.131
0130320014_01   41.031222  -73.762948    33.541      -3.432     2.515    -3.806     1.902
0130320015_01   40.849362  -73.315786    24.221      -2.786     2.123    -3.103     1.623
0130320016_01   40.246943  -74.117011    -0.020       0.023     1.853    -0.292     1.829
0130320017_01   40.997453  -73.842051    24.670      -5.967     2.460    -6.295     1.421
0130320018_01   40.689480  -74.096283   -23.540       2.426     1.891     2.070     2.272
0130320019_01   40.348265  -74.045041   -22.951      -4.570    -1.475    -4.254    -2.225
0130320020_01   40.017080  -74.100998   -32.000       2.930     0.578     2.788     1.065
0130320021_01   40.830719  -73.926433   -25.000       0.645    -2.277     1.019    -2.136
0130320022_01   40.684149  -73.833291   -20.021       1.758    -0.924     1.888    -0.615
0130320023_01   40.627324  -74.207084   -29.527       0.560    -0.326     0.606    -0.227
