==============================================================================
==============================================================================
Thu. Sep. 15 2016                  LANDSAT 5                       Time: 06:17
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609141136_07637                          Path / Row - 13 / 32
Reference Image: L51LGS1003182150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320090   41.24589    -74.16492     0.06      0.09     0.11     1 
0130320091   41.24561    -74.12769    -0.15      0.11     0.18     1 
0130320092   41.24533    -74.09046     0.04      0.14     0.14     1 
0130320093   41.24503    -74.05323     0.22      0.07     0.23     1 
0130320094   41.24471    -74.01600     0.35      0.06     0.35     1 
0130320095   41.24439    -73.97876    -0.20      0.09     0.22     1 
0130320165   41.22049    -74.16524     0.09      0.17     0.19     1 
0130320166   41.22022    -74.12803     0.11     -0.08     0.14     1 
0130320167   41.21993    -74.09081     0.05      0.01     0.05     1 
0130320168   41.21963    -74.05359     0.29      0.14     0.32     1 
0130320169   41.21932    -74.01638     0.20      0.06     0.21     1 
0130320170   41.21899    -73.97916    -0.01      0.09     0.09     1 
0130320172   41.21831    -73.90473     0.03      0.20     0.20     1 
0130320173   41.21795    -73.86752     0.29     -0.16     0.33     1 
0130320174   41.21758    -73.83030    -0.11      0.04     0.11     1 
0130320175   41.21719    -73.79309     0.33     -0.01     0.33     1 
0130320240   41.19509    -74.16557    -0.07      0.06     0.10     1 
0130320241   41.19482    -74.12836    -0.15      0.14     0.20     1 
0130320242   41.19453    -74.09116    -0.16      0.09     0.19     1 
0130320243   41.19423    -74.05396     0.23      0.18     0.29     1 
0130320244   41.19392    -74.01676     0.05      0.07     0.09     1 
0130320247   41.19291    -73.90515     0.02      0.03     0.04     1 
0130320248   41.19255    -73.86795    -0.02      0.04     0.04     1 
0130320249   41.19218    -73.83075     0.08      0.04     0.09     1 
0130320250   41.19179    -73.79356     0.12      0.14     0.19     1 
0130320251   41.19140    -73.75636     0.21      0.00     0.21     1 
0130320252   41.19099    -73.71916     0.17      0.07     0.18     1 
0130320253   41.19057    -73.68197     0.26      0.06     0.27     1 
0130320254   41.19014    -73.64477    -0.01      0.05     0.05     1 
0130320255   41.18970    -73.60758     0.04      0.06     0.07     1 
0130320315   41.16969    -74.16589     0.28      0.06     0.28     1 
0130320316   41.16942    -74.12870    -0.24      0.11     0.26     1 
0130320317   41.16913    -74.09151     0.26      0.03     0.26     1 
0130320320   41.16819    -73.97995     0.16      0.07     0.17     1 
0130320321   41.16786    -73.94276    -0.05      0.16     0.17     1 
0130320322   41.16751    -73.90558    -0.38      0.05     0.39     1 
0130320323   41.16715    -73.86839     0.11      0.17     0.21     1 
0130320324   41.16678    -73.83121     0.25      0.04     0.25     1 
0130320325   41.16640    -73.79402     0.21      0.11     0.23     1 
0130320326   41.16600    -73.75684     0.19      0.11     0.22     1 
0130320328   41.16518    -73.68248     0.04      0.08     0.09     1 
0130320329   41.16475    -73.64530    -0.01     -0.00     0.01     1 
0130320330   41.16430    -73.60812    -0.00      0.02     0.02     1 
0130320331   41.16385    -73.57094     0.01      0.02     0.02     1 
0130320332   41.16338    -73.53376    -0.01      0.12     0.12     1 
0130320333   41.16290    -73.49658     0.17     -0.01     0.17     1 
0130320334   41.16241    -73.45940     0.12      0.06     0.14     1 
0130320335   41.16190    -73.42223     0.01      0.10     0.10     1 
0130320336   41.16139    -73.38505     0.12      0.06     0.13     1 
0130320390   41.14429    -74.16621     0.14      0.11     0.18     1 
0130320391   41.14402    -74.12904     0.35      0.10     0.36     1 
0130320392   41.14373    -74.09186     0.26      0.06     0.26     1 
0130320393   41.14343    -74.05469     0.29      0.09     0.30     1 
0130320394   41.14312    -74.01752     0.34      0.02     0.34     1 
0130320395   41.14280    -73.98034     0.11      0.06     0.12     1 
0130320396   41.14246    -73.94317     0.04      0.07     0.08     1 
