Thu. Sep. 15, 2016             LANDSAT 5                 Time: 00:58
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19701525            Path/Row: 013 / 032

L0R Reference Image: L51GNC1003198150100_HDF.162590552
Acquisition Date: Jul 17, 2003

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607      -0.632    -0.657    -0.518    -0.755
0130320002_01   40.985966  -74.209579   109.451      -3.136    -0.145    -3.055    -0.667
0130320003_01   40.797198  -72.637571   -32.354       0.566    -1.022     0.725    -0.913
0130320006_01   40.577940  -74.178956   -28.593       5.201    -2.145     5.497    -1.236
0130320008_01   40.742508  -74.255819    36.008      -3.221     3.970    -3.833     3.372
0130320009_01   40.528315  -74.193730   -22.011      -5.858    -1.711    -5.475    -2.671
0130320010_01   40.471312  -74.278993    -4.971      -1.536    -1.770    -1.205    -2.001
0130320011_01   40.320072  -74.446563    15.000      -0.717    -0.703    -0.577    -0.812
0130320012_01   40.704794  -73.791026   -15.364       4.777     2.097     4.360     2.872
0130320016_01   40.246943  -74.117011    -0.020       2.795     2.803     2.287     3.236
0130320017_01   40.997453  -73.842051    24.670      -2.697    -3.741    -2.021    -4.138
0130320018_01   40.689480  -74.096283   -23.540       1.855     0.972     1.673     1.272
0130320019_01   40.348265  -74.045041   -22.951      -4.222    -0.520    -4.066    -1.223
0130320021_01   40.830719  -73.926433   -25.000       2.557    -3.402     3.100    -2.922
0130320022_01   40.684149  -73.833291   -20.021       0.177     3.543    -0.417     3.523
0130320023_01   40.627324  -74.207084   -29.527       0.402    -0.699     0.523    -0.619
0130320027_01   40.706608  -73.311220   -27.502       0.213     2.375    -0.189     2.377
0130320028_01   40.815703  -72.604548   -29.085      -1.125     1.640    -1.391     1.426
0130320029_01   40.857797  -73.395655    36.005       6.817    -0.410     6.790     0.743
0130320030_01   40.813219  -72.576184   -27.298       4.021     1.423     3.719     2.080
