==============================================================================
==============================================================================
Thu. Sep. 15 2016                  LANDSAT 5                       Time: 06:00
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609141136_07119                          Path / Row - 13 / 32
Reference Image: L51GNC1003198150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320090   41.23235    -74.16151     0.11     -0.07     0.13     1 
0130320091   41.23208    -74.12429     0.04     -0.07     0.08     1 
0130320166   41.20668    -74.12463     0.20     -0.19     0.28     1 
0130320168   41.20609    -74.05021     0.16      0.19     0.25     1 
0130320169   41.20578    -74.01300     0.11      0.00     0.11     1 
0130320241   41.18128    -74.12497    -0.12     -0.01     0.12     1 
0130320242   41.18099    -74.08777     0.12      0.12     0.17     1 
0130320315   41.15615    -74.16249    -0.19     -0.04     0.19     1 
0130320317   41.15559    -74.08812     0.33     -0.06     0.34     1 
0130320318   41.15529    -74.05094     0.37      0.01     0.37     1 
0130320321   41.15432    -73.93940     0.36      0.07     0.37     1 
0130320389   41.13102    -74.19998     0.23      0.08     0.25     1 
0130320390   41.13076    -74.16281     0.24      0.02     0.24     1 
0130320391   41.13048    -74.12564     0.36     -0.13     0.38     1 
0130320464   41.10562    -74.20029     0.36     -0.07     0.37     1 
0130320465   41.10536    -74.16313     0.08     -0.00     0.08     1 
0130320466   41.10508    -74.12598     0.35     -0.04     0.35     1 
0130320467   41.10479    -74.08883     0.18      0.04     0.18     1 
0130320468   41.10449    -74.05168     0.12     -0.04     0.12     1 
0130320470   41.10386    -73.97737     0.07      0.05     0.09     1 
0130320539   41.08022    -74.20059    -0.07      0.08     0.11     1 
0130320540   41.07995    -74.16345     0.18      0.07     0.19     1 
0130320541   41.07968    -74.12632     0.19     -0.04     0.19     1 
0130320542   41.07939    -74.08918     0.26     -0.00     0.26     1 
0130320545   41.07846    -73.97777     0.19     -0.18     0.26     1 
0130320552   41.07586    -73.71783     0.15      0.04     0.15     1 
0130320615   41.05456    -74.16378     0.16      0.08     0.18     1 
0130320616   41.05428    -74.12665     0.06      0.06     0.08     1 
0130320617   41.05399    -74.08953     0.18      0.13     0.22     1 
0130320618   41.05369    -74.05240     0.22     -0.04     0.23     1 
0130320620   41.05306    -73.97816    -0.04     -0.00     0.04     1 
0130320628   41.05004    -73.68121     0.02      0.00     0.03     1 
0130320689   41.02942    -74.20121     0.18      0.09     0.20     1 
0130320691   41.02888    -74.12699     0.25      0.02     0.25     1 
0130320693   41.02829    -74.05277     0.16      0.04     0.17     1 
0130320733   41.00655    -72.56911     0.10     -0.15     0.18     1 
0130320734   41.00576    -72.53204     0.05     -0.09     0.10     1 
0130320735   41.00496    -72.49498     0.07      0.02     0.07     1 
0130320736   41.00415    -72.45791    -0.26     -0.03     0.26     1 
0130320739   41.00164    -72.34673    -0.17     -0.04     0.17     1 
0130320763   41.00427    -74.23861     0.04      0.08     0.09     1 
0130320764   41.00402    -74.20152     0.26      0.03     0.26     1 
0130320766   41.00348    -74.12732     0.23      0.05     0.24     1 
0130320767   41.00319    -74.09023     0.31     -0.00     0.31     1 
0130320768   41.00289    -74.05313     0.25      0.11     0.28     1 
0130320804   40.98419    -72.71827     0.15     -0.17     0.22     1 
0130320807   40.98194    -72.60710    -0.04     -0.13     0.14     1 
0130320808   40.98116    -72.57004     0.15      0.12     0.20     1 
0130320809   40.98038    -72.53299    -0.11      0.01     0.11     1 
0130320810   40.97958    -72.49594    -0.16     -0.15     0.22     1 
0130320811   40.97877    -72.45889    -0.14      0.03     0.14     1 
0130320813   40.97711    -72.38479    -0.10     -0.10     0.14     1 
0130320814   40.97626    -72.34775     0.33      0.10     0.34     1 
0130320815   40.97540    -72.31070     0.13      0.03     0.13     1 
0130320816   40.97453    -72.27366     0.16      0.02     0.16     1 
