Tue. Sep. 13, 2016             LANDSAT 5                 Time: 10:25
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19658781            Path/Row: 013 / 032

L0R Reference Image: L51GNC1004185150100_HDF.162571523
Acquisition Date: Jul 03, 2004

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       2.105    -1.149     2.268    -0.777
0130320002_01   40.985966  -74.209579   109.451      -0.690     0.774    -0.810     0.647
0130320005_01   40.837345  -73.132134    -7.643      -0.619    -4.476     0.144    -4.516
0130320006_01   40.577940  -74.178956   -28.593       6.779    -4.087     7.371    -2.885
0130320007_01   41.024323  -74.206980    78.507      -4.507     5.284    -5.330     4.449
0130320008_01   40.742508  -74.255819    36.008      -2.411     4.688    -3.167     4.214
0130320009_01   40.528315  -74.193730   -22.011      -5.673    -0.103    -5.573    -1.058
0130320010_01   40.471312  -74.278993    -4.971      -3.224     1.211    -3.382     0.650
0130320011_01   40.320072  -74.446563    15.000       0.630    -0.095     0.636     0.012
0130320012_01   40.704794  -73.791026   -15.364       3.684    -3.732     4.260    -3.057
0130320014_01   41.031222  -73.762948    33.541      -2.579     0.639    -2.649     0.196
0130320015_01   40.849362  -73.315786    24.221      -4.006     3.225    -4.492     2.504
0130320016_01   40.246943  -74.117011    -0.020      -2.023     3.150    -2.527     2.762
0130320018_01   40.689480  -74.096283   -23.540       3.665     0.433     3.538     1.045
0130320019_01   40.348265  -74.045041   -22.951      -5.745     1.152    -5.857     0.165
0130320020_01   40.017080  -74.100998   -32.000       1.967    -0.286     1.987     0.051
0130320021_01   40.830719  -73.926433   -25.000       1.468    -0.393     1.513    -0.141
0130320022_01   40.684149  -73.833291   -20.021       3.218     0.095     3.156     0.636
0130320023_01   40.627324  -74.207084   -29.527       2.194    -0.147     2.187     0.225
0130320024_01   40.707930  -73.860221   -11.161       0.229    -1.303     0.445    -1.245
