==============================================================================
==============================================================================
Tue. Sep. 13 2016                  LANDSAT 5                       Time: 15:26
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609120809_05494                          Path / Row - 13 / 32
Reference Image: L51GNC1004185150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320015   41.26299    -74.13784    -0.03      0.22     0.22     1 
0130320090   41.23759    -74.13818    -0.06      0.11     0.13     1 
0130320091   41.23730    -74.10059    -0.11      0.08     0.14     1 
0130320092   41.23700    -74.06301     0.19      0.21     0.29     1 
0130320094   41.23636    -73.98784    -0.02      0.04     0.04     1 
0130320164   41.21246    -74.17608     0.31      0.09     0.33     1 
0130320165   41.21219    -74.13851     0.07     -0.08     0.10     1 
0130320166   41.21190    -74.10094     0.04     -0.09     0.09     1 
0130320167   41.21160    -74.06337    -0.01      0.18     0.18     1 
0130320168   41.21129    -74.02580     0.07      0.10     0.12     1 
0130320169   41.21097    -73.98823     0.10      0.15     0.18     1 
0130320170   41.21063    -73.95066     0.26      0.02     0.26     1 
0130320172   41.20992    -73.87553     0.26     -0.02     0.26     1 
0130320173   41.20955    -73.83796     0.04     -0.05     0.06     1 
0130320174   41.20916    -73.80039     0.18     -0.04     0.19     1 
0130320175   41.20876    -73.76283     0.28     -0.06     0.29     1 
0130320239   41.18706    -74.17640     0.06      0.03     0.07     1 
0130320240   41.18679    -74.13885     0.11      0.01     0.11     1 
0130320241   41.18650    -74.10129    -0.22      0.31     0.38     1 
0130320242   41.18620    -74.06373     0.30      0.16     0.34     1 
0130320243   41.18589    -74.02618     0.31     -0.00     0.31     1 
0130320244   41.18557    -73.98862    -0.00      0.03     0.03     1 
0130320247   41.18452    -73.87596    -0.13      0.11     0.17     1 
0130320248   41.18415    -73.83841     0.14      0.06     0.15     1 
0130320249   41.18376    -73.80086     0.25     -0.03     0.25     1 
0130320250   41.18337    -73.76331     0.14      0.01     0.14     1 
0130320251   41.18296    -73.72576     0.11      0.01     0.11     1 
0130320252   41.18254    -73.68821     0.02      0.06     0.06     1 
0130320254   41.18166    -73.61311     0.05     -0.01     0.05     1 
0130320255   41.18120    -73.57557    -0.05      0.04     0.06     1 
0130320314   41.16166    -74.17672     0.13      0.13     0.19     1 
0130320315   41.16139    -74.13918     0.05      0.09     0.10     1 
0130320316   41.16110    -74.10164     0.09      0.07     0.11     1 
0130320317   41.16080    -74.06409     0.38      0.09     0.39     1 
0130320319   41.16017    -73.98901     0.12      0.07     0.14     1 
0130320320   41.15983    -73.95147    -0.02     -0.02     0.03     1 
0130320323   41.15875    -73.83886     0.13     -0.04     0.13     1 
0130320325   41.15797    -73.76378     0.18      0.12     0.21     1 
0130320327   41.15714    -73.68872     0.19      0.05     0.20     1 
0130320328   41.15671    -73.65118     0.12      0.03     0.12     1 
0130320329   41.15626    -73.61365    -0.09     -0.06     0.11     1 
0130320330   41.15580    -73.57612    -0.07      0.00     0.07     1 
0130320333   41.15436    -73.46353     0.23     -0.00     0.23     1 
0130320334   41.15385    -73.42600    -0.25      0.07     0.26     1 
0130320335   41.15333    -73.38847     0.16     -0.02     0.16     1 
0130320389   41.13626    -74.17704     0.25      0.17     0.30     1 
0130320390   41.13599    -74.13951     0.34      0.03     0.34     1 
0130320392   41.13540    -74.06445     0.21      0.09     0.23     1 
0130320394   41.13477    -73.98940     0.22      0.03     0.22     1 
0130320395   41.13443    -73.95188     0.07     -0.01     0.07     1 
0130320396   41.13409    -73.91435     0.28     -0.09     0.29     1 
0130320398   41.13336    -73.83931     0.39      0.09     0.40     1 
0130320399   41.13297    -73.80178     0.13     -0.01     0.13     1 
0130320400   41.13257    -73.76426     0.26      0.11     0.28     1 
0130320401   41.13217    -73.72674     0.18     -0.01     0.18     1 
