==============================================================================
==============================================================================
Mon. Sep. 12 2016                  LANDSAT 5                       Time: 02:55
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609110671_09438                          Path / Row - 13 / 32
Reference Image: L51GNC1005235150101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320092   41.25387    -74.14763     0.03      0.19     0.19     1 
0130320093   41.25359    -74.11040     0.07      0.07     0.10     1 
0130320094   41.25330    -74.07316     0.26      0.03     0.26     1 
0130320095   41.25299    -74.03592     0.33     -0.02     0.34     1 
0130320167   41.22847    -74.14796    -0.04      0.09     0.10     1 
0130320168   41.22819    -74.11074     0.05     -0.02     0.05     1 
0130320169   41.22790    -74.07352     0.19      0.03     0.20     1 
0130320171   41.22727    -73.99908     0.15      0.02     0.15     1 
0130320172   41.22694    -73.96186     0.01      0.01     0.02     1 
0130320173   41.22660    -73.92464    -0.16      0.03     0.17     1 
0130320174   41.22625    -73.88742     0.24      0.02     0.24     1 
0130320175   41.22588    -73.85020     0.01     -0.05     0.05     1 
0130320177   41.22512    -73.77577    -0.33      0.07     0.33     1 
0130320242   41.20307    -74.14829    -0.06      0.07     0.09     1 
0130320243   41.20279    -74.11108    -0.00      0.04     0.04     1 
0130320244   41.20250    -74.07388    -0.11      0.20     0.23     1 
0130320245   41.20219    -74.03667     0.20      0.07     0.21     1 
0130320246   41.20188    -73.99946     0.18      0.03     0.19     1 
0130320247   41.20155    -73.96226     0.05     -0.04     0.07     1 
0130320249   41.20085    -73.88785     0.17      0.18     0.24     1 
0130320250   41.20049    -73.85064     0.16      0.03     0.17     1 
0130320251   41.20011    -73.81344     0.23      0.03     0.23     1 
0130320252   41.19972    -73.77624     0.19      0.07     0.20     1 
0130320253   41.19932    -73.73904     0.11      0.01     0.11     1 
0130320254   41.19890    -73.70184     0.18      0.03     0.19     1 
0130320255   41.19848    -73.66464     0.21      0.03     0.21     1 
0130320317   41.17767    -74.14862     0.34     -0.04     0.35     1 
0130320318   41.17739    -74.11143     0.05     -0.00     0.05     1 
0130320319   41.17710    -74.07423     0.33      0.00     0.33     1 
0130320320   41.17679    -74.03704     0.32      0.06     0.32     1 
0130320321   41.17648    -73.99985     0.21      0.01     0.21     1 
0130320322   41.17615    -73.96266     0.15      0.16     0.22     1 
0130320324   41.17545    -73.88828    -0.18     -0.06     0.19     1 
0130320325   41.17509    -73.85109     0.17      0.10     0.20     1 
0130320326   41.17471    -73.81390     0.17      0.05     0.18     1 
0130320327   41.17432    -73.77671     0.11      0.09     0.14     1 
0130320328   41.17392    -73.73952     0.20      0.04     0.20     1 
0130320329   41.17351    -73.70234     0.19      0.08     0.20     1 
0130320330   41.17308    -73.66515     0.06      0.03     0.07     1 
0130320331   41.17265    -73.62797     0.04      0.01     0.04     1 
0130320332   41.17220    -73.59078     0.09      0.02     0.09     1 
0130320333   41.17174    -73.55360    -0.26     -0.23     0.35     1 
0130320334   41.17126    -73.51642     0.13      0.07     0.15     1 
0130320335   41.17078    -73.47924     0.11      0.05     0.12     1 
0130320336   41.17028    -73.44205     0.22     -0.07     0.23     1 
0130320391   41.15254    -74.18613     0.25      0.07     0.26     1 
0130320392   41.15227    -74.14895    -0.06     -0.02     0.06     1 
0130320393   41.15199    -74.11177     0.22      0.06     0.23     1 
0130320395   41.15139    -74.03741     0.31      0.04     0.31     1 
0130320396   41.15108    -74.00024     0.20      0.05     0.21     1 
0130320397   41.15075    -73.96306     0.12      0.10     0.16     1 
0130320398   41.15041    -73.92588     0.13      0.06     0.14     1 
0130320400   41.14969    -73.85153     0.18      0.03     0.19     1 
0130320401   41.14931    -73.81436     0.23      0.00     0.23     1 
0130320402   41.14893    -73.77718     0.09      0.09     0.12     1 
0130320403   41.14852    -73.74001     0.12      0.09     0.15     1 
