Sun. Sep. 11, 2016             LANDSAT 5                 Time: 19:16
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19609227            Path/Row: 013 / 032

L0R Reference Image: L51GNC1005251150100_HDF.162560007
Acquisition Date: Sep 08, 2005

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       2.581    -4.160     3.247    -3.665
0130320002_01   40.985966  -74.209579   109.451      -2.938    -1.229    -2.690    -1.705
0130320003_01   40.797198  -72.637571   -32.354       1.060     1.064     0.868     1.229
0130320004_01   41.050400  -73.531986   -15.842      -1.345    -0.850    -1.183    -1.064
0130320005_01   40.837345  -73.132134    -7.643      -1.580    -1.358    -1.328    -1.605
0130320006_01   40.577940  -74.178956   -28.593       5.934    -1.343     6.072    -0.324
0130320007_01   41.024323  -74.206980    78.507      -4.967     3.438    -5.476     2.553
0130320008_01   40.742508  -74.255819    36.008      -2.298     3.412    -2.843     2.975
0130320009_01   40.528315  -74.193730   -22.011      -3.340    -2.479    -2.875    -3.006
0130320010_01   40.471312  -74.278993    -4.971      -1.151    -2.100    -0.782    -2.264
0130320011_01   40.320072  -74.446563    15.000       1.849    -0.562     1.914    -0.243
0130320012_01   40.704794  -73.791026   -15.364       2.665    -0.357     2.685     0.097
0130320013_01   40.905181  -73.115979    36.966      -4.343    -2.702    -3.825    -3.394
0130320014_01   41.031222  -73.762948    33.541      -0.007    -2.566     0.423    -2.530
0130320015_01   40.849362  -73.315786    24.221      -3.293     2.054    -3.591     1.470
0130320016_01   40.246943  -74.117011    -0.020      -3.266     0.004    -3.220    -0.548
0130320017_01   40.997453  -73.842051    24.670      -3.449     2.554    -3.831     1.937
0130320018_01   40.689480  -74.096283   -23.540       2.927     2.049     2.536     2.512
0130320019_01   40.348265  -74.045041   -22.951      -3.552    -0.638    -3.394    -1.229
0130320020_01   40.017080  -74.100998   -32.000       2.360    -0.529     2.414    -0.121
