Mon. Sep.  5, 2016             LANDSAT 5                 Time: 16:39
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19474078            Path/Row: 013 / 032

L0R Reference Image: L51GNC1008244150100_HDF.162492137
Acquisition Date: Aug 31, 2008

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       5.613    -1.656     5.811    -0.694
0130320002_01   40.985966  -74.209579   109.451      -2.503    -0.517    -2.380    -0.926
0130320004_01   41.050400  -73.531986   -15.842      -3.069     1.930    -3.348     1.391
0130320005_01   40.837345  -73.132134    -7.643      -1.933    -4.217    -1.201    -4.480
0130320006_01   40.577940  -74.178956   -28.593       5.955    -2.238     6.244    -1.211
0130320007_01   41.024323  -74.206980    78.507      -4.601     0.798    -4.668     0.019
0130320008_01   40.742508  -74.255819    36.008       0.978     5.401     0.060     5.487
0130320009_01   40.528315  -74.193730   -22.011      -4.440    -1.790    -4.077    -2.507
0130320010_01   40.471312  -74.278993    -4.971      -2.040    -1.686    -1.728    -2.003
0130320011_01   40.320072  -74.446563    15.000       1.890     0.387     1.798     0.697
0130320012_01   40.704794  -73.791026   -15.364       1.482     0.439     1.388     0.680
0130320013_01   40.905181  -73.115979    36.966      -3.008    -4.428    -2.226    -4.868
0130320014_01   41.031222  -73.762948    33.541      -4.137     1.733    -4.367     1.018
0130320015_01   40.849362  -73.315786    24.221      -4.431     0.411    -4.437    -0.335
0130320016_01   40.246943  -74.117011    -0.020      -1.300     1.633    -1.555     1.391
0130320018_01   40.689480  -74.096283   -23.540       2.095     2.136     1.708     2.455
0130320019_01   40.348265  -74.045041   -22.951      -3.968    -0.107    -3.893    -0.770
0130320020_01   40.017080  -74.100998   -32.000       1.812     0.088     1.771     0.391
0130320021_01   40.830719  -73.926433   -25.000      -2.871    -0.041    -2.823    -0.519
0130320022_01   40.684149  -73.833291   -20.021      -2.162     0.098    -2.148    -0.265
