Sat. Sep.  3, 2016             LANDSAT 5                 Time: 15:31
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19426324            Path/Row: 013 / 032

L0R Reference Image: L51GNC1009230150100_HDF.162472029
Acquisition Date: Aug 18, 2009

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       3.056    -1.775     3.312    -1.235
0130320002_01   40.985966  -74.209579   109.451      -3.195    -0.826    -3.009    -1.350
0130320004_01   41.050400  -73.531986   -15.842      -2.319     0.666    -2.398     0.267
0130320006_01   40.577940  -74.178956   -28.593       3.003    -3.806     3.601    -3.245
0130320007_01   41.024323  -74.206980    78.507      -4.585     1.324    -4.740     0.536
0130320008_01   40.742508  -74.255819    36.008      -0.975     3.750    -1.593     3.531
0130320009_01   40.528315  -74.193730   -22.011      -5.984    -2.201    -5.525    -3.177
0130320010_01   40.471312  -74.278993    -4.971      -0.860     0.015    -0.851    -0.130
0130320011_01   40.320072  -74.446563    15.000       2.120     0.288     2.040     0.641
0130320012_01   40.704794  -73.791026   -15.364       3.088    -0.291     3.092     0.233
0130320013_01   40.905181  -73.115979    36.966      -3.803    -2.732    -3.289    -3.333
0130320014_01   41.031222  -73.762948    33.541      -3.536    -1.099    -3.300    -1.677
0130320015_01   40.849362  -73.315786    24.221      -6.047     1.043    -6.136     0.010
0130320016_01   40.246943  -74.117011    -0.020       2.203     3.970     1.499     4.284
0130320017_01   40.997453  -73.842051    24.670      -4.640     0.052    -4.582    -0.728
0130320018_01   40.689480  -74.096283   -23.540       2.005     1.967     1.644     2.276
0130320019_01   40.348265  -74.045041   -22.951      -2.956    -1.491    -2.661    -1.968
0130320020_01   40.017080  -74.100998   -32.000       1.825    -0.689     1.915    -0.370
0130320021_01   40.830719  -73.926433   -25.000      -0.578    -0.201    -0.536    -0.295
0130320022_01   40.684149  -73.833291   -20.021       1.185     0.868     1.022     1.055
