Sat. Sep.  3, 2016             LANDSAT 5                 Time: 12:14
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19423885            Path/Row: 013 / 032

L0R Reference Image: L51GNC1009262150100_HDF.162471712
Acquisition Date: Sep 19, 2009

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       3.574    -0.710     3.642    -0.099
0130320002_01   40.985966  -74.209579   109.451      -2.870     0.642    -2.935     0.151
0130320003_01   40.797198  -72.637571   -32.354      -1.904    -6.702    -0.750    -6.928
0130320004_01   41.050400  -73.531986   -15.842      -2.166     2.422    -2.542     2.024
0130320005_01   40.837345  -73.132134    -7.643      -0.619    -5.099     0.248    -5.130
0130320006_01   40.577940  -74.178956   -28.593       3.083    -3.247     3.587    -2.681
0130320007_01   41.024323  -74.206980    78.507      -6.538     1.780    -6.740     0.659
0130320008_01   40.742508  -74.255819    36.008      -0.114     3.392    -0.682     3.324
0130320009_01   40.528315  -74.193730   -22.011      -3.693    -1.503    -3.385    -2.102
0130320010_01   40.471312  -74.278993    -4.971      -3.440    -1.307    -3.168    -1.867
0130320011_01   40.320072  -74.446563    15.000       0.908    -1.057     1.075    -0.889
0130320012_01   40.704794  -73.791026   -15.364       1.245    -4.915     2.056    -4.635
0130320013_01   40.905181  -73.115979    36.966      -1.910    -0.952    -1.723    -1.260
0130320014_01   41.031222  -73.762948    33.541      -6.690    -3.500    -6.005    -4.571
0130320015_01   40.849362  -73.315786    24.221      -4.772     1.890    -5.021     1.060
0130320016_01   40.246943  -74.117011    -0.020      -1.236    -4.561    -0.446    -4.703
0130320017_01   40.997453  -73.842051    24.670      -4.739     1.956    -4.998     1.133
0130320018_01   40.689480  -74.096283   -23.540       3.560     0.606     3.407     1.195
0130320019_01   40.348265  -74.045041   -22.951      -2.221    -0.201    -2.154    -0.573
0130320020_01   40.017080  -74.100998   -32.000       0.425     0.421     0.349     0.487
