==============================================================================
==============================================================================
 Sep. 3 2016                  LANDSAT 5                       Time: 17:16
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609028013_03551                          Path / Row - 13 / 32
Reference Image: L51GNC1009262150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320091   41.24568    -74.13628     0.03      0.04     0.05     1 
0130320092   41.24539    -74.09869     0.07      0.05     0.09     1 
0130320093   41.24509    -74.06110     0.13      0.03     0.13     1 
0130320094   41.24478    -74.02351     0.17      0.00     0.17     1 
0130320095   41.24445    -73.98592     0.09      0.05     0.10     1 
0130320165   41.22055    -74.17419     0.14      0.16     0.21     1 
0130320166   41.22028    -74.13662     0.18      0.00     0.18     1 
0130320167   41.21999    -74.09904     0.18      0.04     0.18     1 
0130320168   41.21969    -74.06146     0.11      0.11     0.16     1 
0130320169   41.21938    -74.02389     0.17     -0.00     0.17     1 
0130320170   41.21905    -73.98632    -0.00     -0.02     0.02     1 
0130320172   41.21837    -73.91117    -0.00      0.15     0.15     1 
0130320173   41.21801    -73.87360     0.19     -0.08     0.21     1 
0130320174   41.21763    -73.83603     0.11     -0.00     0.12     1 
0130320175   41.21725    -73.79846     0.15     -0.03     0.15     1 
0130320240   41.19516    -74.17451     0.14      0.07     0.15     1 
0130320241   41.19488    -74.13695     0.06      0.12     0.14     1 
0130320242   41.19459    -74.09939     0.10      0.14     0.17     1 
0130320243   41.19429    -74.06183     0.13      0.11     0.17     1 
0130320244   41.19398    -74.02427     0.16      0.04     0.17     1 
0130320245   41.19366    -73.98671     0.16      0.11     0.19     1 
0130320246   41.19332    -73.94915     0.03     -0.06     0.07     1 
0130320247   41.19297    -73.91159     0.19     -0.02     0.19     1 
0130320248   41.19261    -73.87404     0.06     -0.03     0.07     1 
0130320249   41.19224    -73.83648     0.08     -0.01     0.08     1 
0130320250   41.19185    -73.79892     0.10      0.07     0.12     1 
0130320251   41.19145    -73.76137     0.08      0.02     0.08     1 
0130320252   41.19104    -73.72381     0.08      0.05     0.10     1 
0130320253   41.19062    -73.68626     0.09      0.07     0.11     1 
0130320254   41.19019    -73.64871     0.03      0.04     0.05     1 
0130320255   41.18974    -73.61115     0.06      0.02     0.06     1 
0130320315   41.16976    -74.17483     0.18      0.11     0.21     1 
0130320316   41.16948    -74.13728     0.13      0.06     0.14     1 
0130320317   41.16919    -74.09974     0.04      0.06     0.07     1 
0130320318   41.16889    -74.06219     0.19      0.10     0.22     1 
0130320319   41.16858    -74.02465     0.24      0.04     0.25     1 
0130320320   41.16826    -73.98710     0.21      0.02     0.21     1 
0130320321   41.16792    -73.94956     0.08     -0.01     0.09     1 
0130320324   41.16684    -73.83693     0.12      0.02     0.12     1 
0130320325   41.16645    -73.79939     0.09     -0.00     0.09     1 
0130320326   41.16606    -73.76185     0.09      0.14     0.16     1 
0130320327   41.16565    -73.72431     0.12      0.05     0.13     1 
0130320328   41.16522    -73.68677    -0.01      0.07     0.07     1 
0130320329   41.16479    -73.64923     0.04      0.06     0.08     1 
0130320330   41.16434    -73.61169    -0.01      0.01     0.01     1 
0130320331   41.16389    -73.57415     0.00      0.03     0.03     1 
0130320332   41.16342    -73.53662    -0.05      0.11     0.12     1 
0130320333   41.16293    -73.49908     0.08     -0.01     0.08     1 
0130320334   41.16244    -73.46155     0.06      0.03     0.07     1 
0130320335   41.16193    -73.42402     0.07      0.02     0.07     1 
0130320336   41.16141    -73.38648     0.10     -0.01     0.11     1 
0130320391   41.14408    -74.13762     0.15      0.02     0.16     1 
0130320392   41.14379    -74.10008     0.17      0.04     0.18     1 
0130320393   41.14350    -74.06255     0.18      0.08     0.19     1 
0130320394   41.14318    -74.02502     0.16      0.10     0.18     1 
0130320395   41.14286    -73.98749     0.11      0.00     0.11     1 
