Thu. Sep.  1, 2016             LANDSAT 5                 Time: 08:59
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19368917            Path/Row: 013 / 032

L0R Reference Image: L51EDC1010185150100_HDF.162451312
Acquisition Date: Jul 04, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       3.848    -2.259     4.171    -1.582
0130320002_01   40.985966  -74.209579   109.451      -3.464     1.959    -3.741     1.353
0130320004_01   41.050400  -73.531986   -15.842      -1.607     2.055    -1.928     1.757
0130320008_01   40.742508  -74.255819    36.008      -3.338     5.458    -4.205     4.821
0130320010_01   40.471312  -74.278993    -4.971      -4.299    -0.997    -4.069    -1.704
0130320011_01   40.320072  -74.446563    15.000       0.279     1.572     0.012     1.597
0130320012_01   40.704794  -73.791026   -15.364       1.954    -2.748     2.387    -2.381
0130320014_01   41.031222  -73.762948    33.541      -4.033     0.690    -4.090     0.007
0130320015_01   40.849362  -73.315786    24.221      -6.642     3.584    -7.147     2.420
0130320016_01   40.246943  -74.117011    -0.020      -4.598    -0.411    -4.462    -1.178
0130320018_01   40.689480  -74.096283   -23.540       1.704     3.082     1.163     3.323
0130320019_01   40.348265  -74.045041   -22.951      -4.921    -1.270    -4.636    -2.078
0130320020_01   40.017080  -74.100998   -32.000       3.006     0.010     2.961     0.515
0130320021_01   40.830719  -73.926433   -25.000       2.162    -1.223     2.336    -0.844
0130320022_01   40.684149  -73.833291   -20.021       2.260    -0.785     2.359    -0.395
0130320023_01   40.627324  -74.207084   -29.527       3.800    -1.389     3.979    -0.732
0130320024_01   40.707930  -73.860221   -11.161      -1.821    -0.946    -1.636    -1.237
0130320025_01   40.799067  -73.664494    23.537       0.117     0.029     0.111     0.048
0130320026_01   40.761740  -73.733483    20.856       1.003     1.131     0.799     1.282
0130320027_01   40.706608  -73.311220   -27.502      -0.324     1.615    -0.590     1.538
