==============================================================================
==============================================================================
Thu. Sep. 1 2016                  LANDSAT 5                       Time: 14:03
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501608307017_03178                          Path / Row - 13 / 32
Reference Image: L51EDC1010185150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320091   41.24308    -74.15064     0.13      0.03     0.13     1 
0130320092   41.24280    -74.11305    -0.15      0.06     0.16     1 
0130320094   41.24220    -74.03787     0.44     -0.12     0.45     1 
0130320166   41.21768    -74.15097    -0.02      0.07     0.08     1 
0130320167   41.21740    -74.11339     0.47     -0.06     0.47     1 
0130320168   41.21711    -74.07582     0.12      0.02     0.12     1 
0130320169   41.21680    -74.03825     0.34      0.07     0.35     1 
0130320170   41.21648    -74.00067     0.25      0.05     0.25     1 
0130320171   41.21615    -73.96310    -0.08      0.09     0.12     1 
0130320173   41.21544    -73.88796     0.21      0.14     0.25     1 
0130320174   41.21508    -73.85039     0.36     -0.05     0.36     1 
0130320175   41.21469    -73.81282     0.32      0.02     0.32     1 
0130320176   41.21430    -73.77525     0.43     -0.09     0.44     1 
0130320241   41.19228    -74.15129     0.15      0.07     0.16     1 
0130320242   41.19200    -74.11373     0.18     -0.04     0.18     1 
0130320244   41.19140    -74.03862     0.32      0.16     0.36     1 
0130320246   41.19075    -73.96350     0.08      0.09     0.13     1 
0130320248   41.19005    -73.88839     0.08      0.05     0.10     1 
0130320249   41.18968    -73.85083     0.14      0.10     0.17     1 
0130320250   41.18930    -73.81328     0.46     -0.01     0.46     1 
0130320251   41.18890    -73.77572     0.28      0.08     0.29     1 
0130320252   41.18850    -73.73817     0.24      0.07     0.25     1 
0130320253   41.18808    -73.70062     0.32      0.12     0.34     1 
0130320254   41.18765    -73.66307     0.12      0.05     0.13     1 
0130320255   41.18721    -73.62552     0.18      0.04     0.19     1 
0130320256   41.18675    -73.58797     0.09      0.05     0.11     1 
0130320315   41.16716    -74.18917     0.41      0.13     0.43     1 
0130320316   41.16689    -74.15162     0.17     -0.14     0.22     1 
0130320317   41.16660    -74.11408    -0.02      0.18     0.18     1 
0130320320   41.16568    -74.00144     0.39      0.06     0.39     1 
0130320321   41.16535    -73.96390    -0.04     -0.04     0.06     1 
0130320323   41.16465    -73.88882     0.04     -0.03     0.05     1 
0130320324   41.16428    -73.85128     0.21      0.11     0.23     1 
0130320325   41.16390    -73.81374     0.17      0.01     0.17     1 
0130320326   41.16351    -73.77620     0.19      0.18     0.26     1 
0130320327   41.16310    -73.73866     0.36      0.05     0.36     1 
0130320328   41.16269    -73.70112     0.34      0.06     0.35     1 
0130320329   41.16226    -73.66358     0.14      0.07     0.16     1 
0130320330   41.16181    -73.62605     0.08      0.02     0.09     1 
0130320331   41.16136    -73.58851     0.20      0.03     0.20     1 
0130320332   41.16089    -73.55098     0.20     -0.11     0.23     1 
0130320333   41.16042    -73.51344     0.27      0.07     0.28     1 
0130320334   41.15993    -73.47591     0.29      0.06     0.30     1 
0130320335   41.15942    -73.43838     0.23      0.02     0.23     1 
0130320391   41.14149    -74.15195     0.40      0.14     0.43     1 
0130320392   41.14120    -74.11442     0.43      0.16     0.46     1 
0130320394   41.14060    -74.03936     0.37      0.07     0.38     1 
0130320395   41.14028    -74.00183     0.42      0.09     0.43     1 
0130320397   41.13961    -73.92677     0.05      0.04     0.06     1 
0130320399   41.13888    -73.85172     0.32      0.17     0.36     1 
0130320400   41.13850    -73.81419     0.42      0.06     0.42     1 
0130320401   41.13811    -73.77667     0.22      0.05     0.23     1 
0130320402   41.13771    -73.73914     0.20      0.08     0.22     1 
0130320403   41.13729    -73.70162     0.36      0.00     0.36     1 
0130320404   41.13686    -73.66410     0.25     -0.02     0.25     1 
0130320405   41.13642    -73.62658     0.26      0.15     0.31     1 
