Wed. Aug. 31, 2016             LANDSAT 5                 Time: 14:52
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19350751            Path/Row: 013 / 032

L0R Reference Image: L51EDC1010249150100_HDF.162441927
Acquisition Date: Sep 06, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       4.608    -2.429     4.949    -1.622
0130320002_01   40.985966  -74.209579   109.451      -2.564    -2.308    -2.137    -2.703
0130320004_01   41.050400  -73.531986   -15.842       0.912     1.719     0.612     1.847
0130320005_01   40.837345  -73.132134    -7.643       0.096    -5.583     1.031    -5.488
0130320006_01   40.577940  -74.178956   -28.593       5.496    -0.110     5.437     0.814
0130320007_01   41.024323  -74.206980    78.507       0.066     5.551    -0.863     5.482
0130320008_01   40.742508  -74.255819    36.008      -1.254     4.676    -2.019     4.399
0130320009_01   40.528315  -74.193730   -22.011      -3.582    -1.008    -3.358    -1.594
0130320010_01   40.471312  -74.278993    -4.971      -1.932    -0.239    -1.862    -0.560
0130320011_01   40.320072  -74.446563    15.000       0.737    -0.281     0.777    -0.153
0130320012_01   40.704794  -73.791026   -15.364       2.918    -2.295     3.263    -1.772
0130320013_01   40.905181  -73.115979    36.966      -2.455     0.113    -2.439    -0.300
0130320014_01   41.031222  -73.762948    33.541      -2.140    -1.040    -1.933    -1.383
0130320015_01   40.849362  -73.315786    24.221      -3.656     0.233    -3.643    -0.383
0130320016_01   40.246943  -74.117011    -0.020      -5.697    -0.195    -5.580    -1.150
0130320017_01   40.997453  -73.842051    24.670      -4.603     0.803    -4.670     0.021
0130320018_01   40.689480  -74.096283   -23.540       2.687     2.247     2.273     2.665
0130320019_01   40.348265  -74.045041   -22.951      -4.445    -0.218    -4.342    -0.962
0130320020_01   40.017080  -74.100998   -32.000       1.876     0.586     1.751     0.894
0130320021_01   40.830719  -73.926433   -25.000      -2.670    -0.360    -2.570    -0.802
