Wed. Aug. 31, 2016             LANDSAT 5                 Time: 00:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19334255            Path/Row: 013 / 032

L0R Reference Image: L51GNC1011188150100_HDF.162440454
Acquisition Date: Jul 07, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   032   10-20-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130320001_01   40.899350  -72.547400    -5.607       1.731    -0.998     1.874    -0.694
0130320002_01   40.985966  -74.209579   109.451      -3.607     1.166    -3.749     0.546
0130320003_01   40.797198  -72.637571   -32.354      -6.411    -5.593    -5.384    -6.591
0130320004_01   41.050400  -73.531986   -15.842      -2.422     2.115    -2.741     1.680
0130320005_01   40.837345  -73.132134    -7.643       0.670    -2.775     1.126    -2.624
0130320006_01   40.577940  -74.178956   -28.593       4.144    -3.333     4.644    -2.591
0130320007_01   41.024323  -74.206980    78.507      -5.049     6.023    -5.984     5.092
0130320008_01   40.742508  -74.255819    36.008      -3.384     3.474    -3.917     2.858
0130320010_01   40.471312  -74.278993    -4.971      -2.097     1.017    -2.238     0.650
0130320011_01   40.320072  -74.446563    15.000      -0.192     1.053    -0.367     1.005
0130320012_01   40.704794  -73.791026   -15.364       4.510    -5.969     5.447    -5.128
0130320013_01   40.905181  -73.115979    36.966      -3.814    -2.058    -3.416    -2.668
0130320014_01   41.031222  -73.762948    33.541      -2.678     1.261    -2.851     0.796
0130320016_01   40.246943  -74.117011    -0.020      -2.002    -3.853    -1.324    -4.134
0130320017_01   40.997453  -73.842051    24.670      -6.599     1.119    -6.692     0.000
0130320018_01   40.689480  -74.096283   -23.540       2.709     3.693     2.051     4.093
0130320019_01   40.348265  -74.045041   -22.951      -0.443     3.595    -1.041     3.469
0130320020_01   40.017080  -74.100998   -32.000       0.711     1.237     0.492     1.339
0130320021_01   40.830719  -73.926433   -25.000       2.965    -3.548     3.517    -3.001
0130320022_01   40.684149  -73.833291   -20.021       6.179    -4.280     6.808    -3.184
