Sun. Oct.  2, 2016             LANDSAT 5                 Time: 00:51
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20120197            Path/Row: 014 / 032

L0R Reference Image: L51XXX1090185140100_HDF.162760550
Acquisition Date: Jul 04, 1990

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320002_01   40.844760  -73.788842   -27.396       3.361    -4.078     4.057    -3.381
0140320003_01   40.948134  -74.065321   -15.668       0.396     2.409    -0.056     2.440
0140320004_01   40.978516  -73.787468    47.304      -5.486    -1.505    -5.108    -2.495
0140320005_01   39.597576  -74.342643   -30.984       1.240    -2.500     1.683    -2.224
0140320006_01   40.864834  -73.649647    -0.304       0.940    -6.688     2.162    -6.394
0140320007_01   40.869077  -74.151518    -4.729       5.620     0.032     5.515     1.073
0140320008_01   40.462764  -74.295361    -1.381       0.087    -0.148     0.114    -0.129
0140320009_01   40.348343  -74.123108   -16.496      -4.627     0.070    -4.556    -0.791
0140320010_01   40.600232  -75.454805    41.220       6.348    -2.765     6.747    -1.539
0140320011_01   40.627047  -74.167714   -25.800       5.220     0.903     4.960     1.856
0140320012_01   39.992673  -75.274339    41.869      -2.140    -0.332    -2.040    -0.724
0140320013_01   40.876867  -74.352585    25.543      -2.378     4.163    -3.106     3.648
0140320014_01   41.034599  -75.065550   265.632      -4.850    -4.412    -3.946    -5.228
0140320015_01   40.732542  -73.708102    -4.949       2.402     3.379     1.735     3.765
0140320016_01   39.989676  -74.158986   -27.474       1.037     1.051     0.825     1.225
0140320017_01   40.909079  -74.530737   203.203      -1.789     1.901    -2.108     1.536
0140320018_01   40.362150  -74.024706   -18.215      -0.618    -2.769    -0.092    -2.834
0140320019_01   41.002140  -74.203678   125.341      -5.916     1.810    -6.144     0.682
0140320020_01   40.098094  -74.091837   -27.866       1.029    -0.006     1.013     0.185
0140320021_01   40.155362  -75.136205    49.267       5.653    -0.851     5.709     0.214
