Sat. Oct.  1, 2016             LANDSAT 5                 Time: 23:44
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20118287            Path/Row: 014 / 032

L0R Reference Image: L51XXX1090201140100_HDF.162760440
Acquisition Date: Jul 20, 1990

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       3.245    -3.772     3.888    -3.102
0140320002_01   40.844760  -73.788842   -27.396       3.624    -3.048     4.124    -2.322
0140320003_01   40.948134  -74.065321   -15.668       0.960     2.436     0.494     2.571
0140320004_01   40.978516  -73.787468    47.304      -4.919    -4.238    -4.047    -5.073
0140320005_01   39.597576  -74.342643   -30.984       2.387    -2.575     2.824    -2.084
0140320006_01   40.864834  -73.649647    -0.304       3.004    -6.343     4.125    -5.674
0140320007_01   40.869077  -74.151518    -4.729       4.137     3.040     3.503     3.752
0140320008_01   40.462764  -74.295361    -1.381       0.276    -0.629     0.388    -0.567
0140320009_01   40.348343  -74.123108   -16.496      -2.288     0.979    -2.427     0.537
0140320010_01   40.600232  -75.454805    41.220       5.401    -2.156     5.703    -1.118
0140320011_01   40.627047  -74.167714   -25.800       4.123     0.548     3.949     1.303
0140320012_01   39.992673  -75.274339    41.869      -1.682    -0.447    -1.569    -0.751
0140320013_01   40.876867  -74.352585    25.543      -1.518     2.063    -1.872     1.746
0140320014_01   41.034599  -75.065550   265.632      -2.848    -3.593    -2.132    -4.054
0140320015_01   40.732542  -73.708102    -4.949       3.992     2.379     3.482     3.077
0140320016_01   39.989676  -74.158986   -27.474      -0.009     0.477    -0.096     0.467
0140320017_01   40.909079  -74.530737   203.203      -2.408    -0.144    -2.337    -0.587
0140320018_01   40.362150  -74.024706   -18.215      -1.479    -4.157    -0.680    -4.357
0140320019_01   41.002140  -74.203678   125.341      -3.860     2.209    -4.198     1.456
0140320020_01   40.098094  -74.091837   -27.866      -1.402    -1.155    -1.161    -1.395
