==============================================================================
==============================================================================
Sun. Oct. 2 2016                  LANDSAT 5                       Time: 04:46
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609293545_03699                          Path / Row - 14 / 32
Reference Image: L51XXX1090201140100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320094   41.24127    -75.62713    -0.32      0.10     0.34     1 
0140320096   41.24165    -75.55267     0.05      0.07     0.08     1 
0140320166   41.21493    -75.73854    -0.16     -0.01     0.16     1 
0140320168   41.21539    -75.66410    -0.08      0.13     0.15     1 
0140320169   41.21560    -75.62689    -0.16      0.10     0.19     1 
0140320175   41.21659    -75.40358     0.04      0.01     0.04     1 
0140320176   41.21672    -75.36636    -0.04      0.09     0.09     1 
0140320241   41.18926    -75.73825    -0.12      0.12     0.17     1 
0140320242   41.18950    -75.70104    -0.17      0.10     0.20     1 
0140320243   41.18971    -75.66384    -0.04     -0.00     0.04     1 
0140320245   41.19012    -75.58944     0.09     -0.32     0.34     1 
0140320247   41.19048    -75.51503    -0.18     -0.23     0.30     1 
0140320249   41.19079    -75.44062    -0.04      0.14     0.15     1 
0140320250   41.19092    -75.40342    -0.04      0.05     0.07     1 
0140320251   41.19105    -75.36621    -0.14      0.04     0.14     1 
0140320253   41.19126    -75.29180     0.21     -0.02     0.21     1 
0140320256   41.19149    -75.18019     0.27     -0.05     0.28     1 
0140320316   41.16359    -75.73796    -0.14      0.05     0.15     1 
0140320317   41.16382    -75.70077     0.06      0.02     0.07     1 
0140320318   41.16404    -75.66358    -0.07     -0.05     0.09     1 
0140320321   41.16463    -75.55202    -0.01      0.13     0.13     1 
0140320322   41.16481    -75.51483    -0.12      0.09     0.15     1 
0140320323   41.16497    -75.47764    -0.23      0.03     0.24     1 
0140320324   41.16511    -75.44045    -0.03     -0.02     0.03     1 
0140320325   41.16525    -75.40326    -0.02     -0.01     0.03     1 
0140320326   41.16537    -75.36607     0.22     -0.11     0.24     1 
0140320327   41.16549    -75.32888    -0.16      0.07     0.17     1 
0140320328   41.16559    -75.29169     0.05      0.06     0.08     1 
0140320329   41.16568    -75.25450    -0.02      0.02     0.03     1 
0140320330   41.16575    -75.21731     0.11     -0.12     0.16     1 
0140320331   41.16582    -75.18012    -0.13     -0.04     0.13     1 
0140320334   41.16593    -75.06854    -0.10     -0.05     0.11     1 
0140320391   41.13792    -75.73767     0.23     -0.08     0.25     1 
0140320394   41.13858    -75.62615    -0.16     -0.01     0.16     1 
0140320395   41.13878    -75.58898    -0.01      0.14     0.14     1 
0140320396   41.13896    -75.55180    -0.06     -0.03     0.07     1 
0140320397   41.13913    -75.51463    -0.17     -0.07     0.18     1 
0140320399   41.13944    -75.44028     0.11     -0.10     0.14     1 
0140320400   41.13958    -75.40310     0.03     -0.04     0.05     1 
0140320401   41.13970    -75.36593     0.06     -0.02     0.06     1 
0140320402   41.13981    -75.32875     0.00     -0.00     0.00     1 
0140320403   41.13991    -75.29157    -0.13      0.10     0.16     1 
0140320406   41.14014    -75.18005    -0.10     -0.02     0.10     1 
0140320407   41.14019    -75.14287    -0.11     -0.03     0.12     1 
0140320408   41.14023    -75.10569    -0.15      0.01     0.15     1 
0140320410   41.14028    -75.03134    -0.06     -0.01     0.07     1 
0140320411   41.14028    -74.99416    -0.00     -0.05     0.05     1 
0140320412   41.14028    -74.95698    -0.23      0.00     0.23     1 
0140320413   41.14026    -74.91981     0.03     -0.16     0.16     1 
0140320414   41.14022    -74.88263     0.04     -0.06     0.07     1 
0140320415   41.14018    -74.84545    -0.11     -0.13     0.17     1 
0140320466   41.11225    -75.73738    -0.33      0.05     0.33     1 
0140320468   41.11270    -75.66307    -0.12     -0.01     0.12     1 
0140320470   41.11311    -75.58875    -0.16      0.08     0.18     1 
