Thu. Sep. 29, 2016             LANDSAT 5                 Time: 08:38
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20065143            Path/Row: 014 / 032

L0R Reference Image: L51XXX1091172140100_HDF.162731335
Acquisition Date: Jun 21, 1991

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       3.362    -1.648     3.654    -0.983
0140320002_01   40.844760  -73.788842   -27.396       5.125    -3.437     5.542    -2.448
0140320003_01   40.948134  -74.065321   -15.668       0.421     1.254     0.091     1.292
0140320004_01   40.978516  -73.787468    47.304      -3.634    -2.548    -3.220    -3.203
0140320005_01   39.597576  -74.342643   -30.984      -0.738    -1.326    -0.589    -1.461
0140320007_01   40.869077  -74.151518    -4.729       2.093     0.686     1.847     1.047
0140320008_01   40.462764  -74.295361    -1.381       0.016    -0.365     0.004    -0.371
0140320009_01   40.348343  -74.123108   -16.496      -2.967     1.457    -3.293     0.856
0140320011_01   40.627047  -74.167714   -25.800       4.905    -0.115     4.748     0.782
0140320012_01   39.992673  -75.274339    41.869      -3.976    -0.781    -3.727    -1.502
0140320013_01   40.876867  -74.352585    25.543      -2.184     3.023    -2.761     2.552
0140320014_01   41.034599  -75.065550   265.632      -3.604     0.196    -3.527    -0.469
0140320015_01   40.732542  -73.708102    -4.949       2.182    -0.622     2.112    -0.234
0140320016_01   39.989676  -74.158986   -27.474       0.716     1.330     0.336     1.416
0140320017_01   40.909079  -74.530737   203.203      -5.438     1.157    -5.583     0.119
0140320018_01   40.362150  -74.024706   -18.215       0.723    -0.973     0.771    -0.844
0140320019_01   41.002140  -74.203678   125.341      -4.888     2.279    -5.290     1.315
0140320020_01   40.098094  -74.091837   -27.866       1.440    -4.295     2.091    -3.973
0140320021_01   40.155362  -75.136205    49.267       3.197    -1.296     3.400    -0.673
0140320022_01   40.260332  -74.001827   -22.602      -0.249    -2.628     0.117    -2.651
