==============================================================================
==============================================================================
Wed. Sep. 28 2016                  LANDSAT 5                       Time: 00:17
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609273160_09534                          Path / Row - 14 / 32
Reference Image: L51XXX1093177140100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320095   41.25243    -75.55777    -0.03      0.00     0.03     1 
0140320167   41.22616    -75.67030    -0.20      0.02     0.20     1 
0140320168   41.22637    -75.63272     0.08      0.11     0.13     1 
0140320171   41.22694    -75.51997    -0.06      0.06     0.08     1 
0140320172   41.22710    -75.48239     0.09      0.08     0.12     1 
0140320173   41.22725    -75.44480    -0.27      0.01     0.27     1 
0140320174   41.22739    -75.40722    -0.17     -0.04     0.17     1 
0140320175   41.22752    -75.36964    -0.09      0.06     0.11     1 
0140320242   41.20049    -75.67003    -0.14     -0.08     0.17     1 
0140320243   41.20070    -75.63247    -0.19      0.10     0.21     1 
0140320244   41.20090    -75.59490    -0.10      0.12     0.16     1 
0140320245   41.20109    -75.55733    -0.14      0.04     0.14     1 
0140320246   41.20126    -75.51977    -0.01      0.02     0.02     1 
0140320247   41.20143    -75.48220     0.05      0.11     0.12     1 
0140320248   41.20158    -75.44463    -0.12      0.06     0.14     1 
0140320249   41.20172    -75.40706    -0.23      0.06     0.24     1 
0140320250   41.20184    -75.36949    -0.16      0.10     0.19     1 
0140320251   41.20196    -75.33192    -0.08      0.11     0.13     1 
0140320252   41.20206    -75.29435     0.18      0.02     0.18     1 
0140320253   41.20215    -75.25679    -0.00      0.01     0.01     1 
0140320254   41.20223    -75.21922    -0.15     -0.07     0.16     1 
0140320255   41.20229    -75.18165    -0.32      0.01     0.32     1 
0140320315   41.17436    -75.74487    -0.05     -0.03     0.06     1 
0140320317   41.17482    -75.66977     0.17      0.09     0.20     1 
0140320318   41.17503    -75.63222    -0.19      0.10     0.22     1 
0140320319   41.17523    -75.59467    -0.09      0.11     0.14     1 
0140320320   41.17542    -75.55712    -0.02      0.09     0.09     1 
0140320321   41.17559    -75.51956    -0.20      0.13     0.24     1 
0140320322   41.17576    -75.48201    -0.08      0.07     0.10     1 
0140320323   41.17591    -75.44446     0.03     -0.01     0.03     1 
0140320324   41.17605    -75.40690    -0.01      0.00     0.01     1 
0140320325   41.17617    -75.36935     0.07     -0.11     0.13     1 
0140320326   41.17629    -75.33179     0.07      0.01     0.07     1 
0140320327   41.17639    -75.29424     0.03     -0.00     0.03     1 
0140320328   41.17648    -75.25669     0.03      0.10     0.11     1 
0140320329   41.17656    -75.21913    -0.07      0.04     0.08     1 
0140320330   41.17662    -75.18158    -0.08      0.04     0.09     1 
0140320331   41.17668    -75.14402    -0.11      0.06     0.13     1 
0140320332   41.17672    -75.10647    -0.27      0.14     0.30     1 
0140320333   41.17674    -75.06891     0.02     -0.06     0.07     1 
0140320334   41.17676    -75.03136     0.08     -0.11     0.14     1 
0140320335   41.17677    -74.99380    -0.19     -0.08     0.21     1 
0140320392   41.14915    -75.66951     0.12      0.01     0.12     1 
0140320394   41.14956    -75.59444    -0.31      0.12     0.34     1 
0140320395   41.14975    -75.55690    -0.20      0.03     0.20     1 
0140320396   41.14992    -75.51936    -0.28      0.09     0.30     1 
0140320397   41.15008    -75.48182    -0.26      0.05     0.27     1 
0140320398   41.15024    -75.44428    -0.13      0.11     0.17     1 
0140320399   41.15037    -75.40674    -0.03     -0.05     0.06     1 
0140320400   41.15050    -75.36920     0.09      0.06     0.11     1 
0140320401   41.15062    -75.33167     0.12     -0.02     0.13     1 
0140320402   41.15072    -75.29413     0.10     -0.04     0.11     1 
0140320403   41.15081    -75.25659     0.12      0.01     0.12     1 
0140320404   41.15088    -75.21905     0.15      0.06     0.16     1 
0140320405   41.15095    -75.18151     0.21     -0.11     0.24     1 
