Wed. Sep. 28, 2016             LANDSAT 5                 Time: 12:03
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20036746            Path/Row: 014 / 032

L0R Reference Image: L51XXX1093209140100_HDF.162721701
Acquisition Date: Jul 28, 1993

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       4.155    -4.010     4.823    -3.168
0140320002_01   40.844760  -73.788842   -27.396       3.787    -0.820     3.876    -0.105
0140320003_01   40.948134  -74.065321   -15.668       1.257     2.355     0.803     2.547
0140320004_01   40.978516  -73.787468    47.304      -3.460    -1.935    -3.037    -2.539
0140320005_01   39.597576  -74.342643   -30.984      -1.710    -1.531    -1.391    -1.821
0140320006_01   40.864834  -73.649647    -0.304      -1.982    -6.159    -0.805    -6.415
0140320008_01   40.462764  -74.295361    -1.381      -0.057     0.145    -0.080     0.132
0140320009_01   40.348343  -74.123108   -16.496      -3.674     0.187    -3.639    -0.496
0140320010_01   40.600232  -75.454805    41.220       4.245    -2.286     4.589    -1.462
0140320012_01   39.992673  -75.274339    41.869      -3.271     0.952    -3.391     0.328
0140320015_01   40.732542  -73.708102    -4.949       1.285     3.185     0.680     3.368
0140320016_01   39.989676  -74.158986   -27.474       0.285    -0.279     0.336    -0.220
0140320017_01   40.909079  -74.530737   203.203      -5.808     4.595    -6.551     3.440
0140320018_01   40.362150  -74.024706   -18.215      -0.498    -2.024    -0.110    -2.079
0140320019_01   41.002140  -74.203678   125.341      -3.976     1.866    -4.247     1.099
0140320020_01   40.098094  -74.091837   -27.866       3.095    -2.466     3.501    -1.847
0140320022_01   40.260332  -74.001827   -22.602       0.178    -1.101     0.383    -1.048
0140320025_01   39.957452  -75.178311   -28.973      -1.188    -2.137    -0.771    -2.319
0140320026_01   40.603280  -74.097800    16.189       0.109     0.116     0.089     0.135
0140320027_01   40.482680  -74.484165    -1.784       1.743     1.557     1.425     1.852
