Tue. Sep. 27, 2016             LANDSAT 5                 Time: 15:30
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20011328            Path/Row: 014 / 032

L0R Reference Image: L51XXX1093241140100_HDF.162712012
Acquisition Date: Aug 29, 1993

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       4.847    -3.765     5.462    -2.797
0140320002_01   40.844760  -73.788842   -27.396       2.892    -1.462     3.111    -0.900
0140320003_01   40.948134  -74.065321   -15.668       4.177     0.325     4.042     1.093
0140320004_01   40.978516  -73.787468    47.304      -2.881    -3.394    -2.203    -3.868
0140320005_01   39.597576  -74.342643   -30.984      -0.351    -4.882     0.563    -4.860
0140320006_01   40.864834  -73.649647    -0.304       1.252    -1.074     1.427    -0.823
0140320007_01   40.869077  -74.151518    -4.729       5.240    -3.046     5.710    -2.021
0140320008_01   40.462764  -74.295361    -1.381      -0.259    -1.451     0.014    -1.474
0140320009_01   40.348343  -74.123108   -16.496      -4.599    -1.529    -4.234    -2.357
0140320010_01   40.600232  -75.454805    41.220       4.134    -0.639     4.179     0.138
0140320011_01   40.627047  -74.167714   -25.800       3.684     2.362     3.180     3.003
0140320012_01   39.992673  -75.274339    41.869      -0.594    -2.496    -0.119    -2.561
0140320013_01   40.876867  -74.352585    25.543       1.113     1.549     0.806     1.728
0140320014_01   41.034599  -75.065550   265.632      -1.647     3.150    -2.200     2.789
0140320015_01   40.732542  -73.708102    -4.949      -0.054     3.033    -0.615     2.969
0140320016_01   39.989676  -74.158986   -27.474       0.196    -1.395     0.451    -1.333
0140320017_01   40.909079  -74.530737   203.203      -1.802     0.714    -1.902     0.368
0140320018_01   40.362150  -74.024706   -18.215      -1.939    -1.903    -1.552    -2.229
0140320020_01   40.098094  -74.091837   -27.866       0.572     0.145     0.534     0.249
0140320021_01   40.155362  -75.136205    49.267       2.538     0.123     2.470     0.592
