==============================================================================
==============================================================================
Tue. Sep. 27 2016                  LANDSAT 5                       Time: 20:31
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609273160_05702                          Path / Row - 14 / 32
Reference Image: L51XXX1093241140100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320016   41.27735    -75.69625     0.09      0.08     0.12     1 
0140320091   41.25168    -75.69598     0.06      0.01     0.06     1 
0140320093   41.25211    -75.62150     0.00     -0.08     0.08     1 
0140320094   41.25230    -75.58427    -0.02      0.03     0.04     1 
0140320095   41.25248    -75.54703     0.09      0.03     0.10     1 
0140320096   41.25265    -75.50979    -0.22      0.06     0.22     1 
0140320165   41.22578    -75.73293     0.16      0.09     0.18     1 
0140320166   41.22601    -75.69571     0.05     -0.02     0.05     1 
0140320167   41.22623    -75.65848    -0.02      0.11     0.11     1 
0140320168   41.22644    -75.62126     0.03     -0.01     0.03     1 
0140320169   41.22663    -75.58404     0.05     -0.08     0.10     1 
0140320170   41.22681    -75.54681     0.09     -0.05     0.10     1 
0140320171   41.22698    -75.50959     0.06     -0.09     0.11     1 
0140320172   41.22714    -75.47236     0.21     -0.07     0.22     1 
0140320173   41.22729    -75.43514    -0.07      0.11     0.13     1 
0140320174   41.22742    -75.39791     0.06      0.01     0.06     1 
0140320175   41.22755    -75.36069     0.08      0.01     0.09     1 
0140320240   41.20011    -75.73264    -0.07      0.10     0.12     1 
0140320241   41.20034    -75.69544     0.06     -0.04     0.07     1 
0140320242   41.20056    -75.65823     0.09     -0.05     0.10     1 
0140320243   41.20076    -75.62102    -0.00      0.05     0.05     1 
0140320244   41.20096    -75.58381    -0.02      0.00     0.02     1 
0140320245   41.20114    -75.54660     0.01      0.05     0.05     1 
0140320246   41.20131    -75.50939     0.02      0.14     0.14     1 
0140320247   41.20147    -75.47218     0.12      0.13     0.17     1 
0140320248   41.20162    -75.43497     0.02      0.02     0.02     1 
0140320249   41.20175    -75.39776    -0.08     -0.01     0.08     1 
0140320250   41.20187    -75.36055    -0.00     -0.03     0.03     1 
0140320251   41.20198    -75.32334    -0.09      0.06     0.11     1 
0140320252   41.20208    -75.28613     0.10     -0.08     0.13     1 
0140320253   41.20217    -75.24891     0.02     -0.04     0.05     1 
0140320254   41.20224    -75.21170    -0.06      0.00     0.06     1 
0140320315   41.17444    -75.73236     0.05      0.04     0.07     1 
0140320316   41.17467    -75.69517     0.06      0.05     0.08     1 
0140320317   41.17489    -75.65797     0.12      0.01     0.12     1 
0140320318   41.17509    -75.62078    -0.00      0.10     0.10     1 
0140320319   41.17529    -75.58358     0.02      0.03     0.04     1 
0140320320   41.17547    -75.54639    -0.00      0.06     0.06     1 
0140320321   41.17564    -75.50919    -0.04      0.09     0.10     1 
0140320322   41.17580    -75.47200     0.00     -0.01     0.01     1 
0140320323   41.17594    -75.43480     0.04     -0.07     0.08     1 
0140320324   41.17608    -75.39760     0.08     -0.08     0.12     1 
0140320325   41.17620    -75.36041     0.13     -0.12     0.18     1 
0140320326   41.17631    -75.32321    -0.02      0.03     0.04     1 
0140320327   41.17641    -75.28601     0.04     -0.03     0.05     1 
0140320328   41.17650    -75.24882    -0.06      0.01     0.06     1 
0140320329   41.17657    -75.21162    -0.01     -0.06     0.06     1 
0140320330   41.17663    -75.17442     0.03     -0.09     0.10     1 
0140320331   41.17668    -75.13723    -0.03      0.08     0.09     1 
0140320332   41.17672    -75.10003    -0.01      0.07     0.07     1 
0140320333   41.17675    -75.06283     0.15     -0.03     0.15     1 
0140320335   41.17677    -74.98843     0.07     -0.06     0.09     1 
0140320390   41.14877    -75.73207    -0.05      0.07     0.09     1 
0140320391   41.14900    -75.69489     0.03     -0.00     0.03     1 
0140320392   41.14921    -75.65771     0.12      0.03     0.13     1 
