Mon. Sep. 26, 2016             LANDSAT 5                 Time: 00:21
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19962182            Path/Row: 014 / 032

L0R Reference Image: L51XXX1095231140101_HDF.162700244
Acquisition Date: Aug 19, 1995

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       4.606    -4.725     5.398    -3.791
0140320002_01   40.844760  -73.788842   -27.396       1.636     0.835     1.453     1.122
0140320003_01   40.948134  -74.065321   -15.668      -0.324     1.796    -0.649     1.705
0140320004_01   40.978516  -73.787468    47.304      -1.472    -0.525    -1.350    -0.787
0140320005_01   39.597576  -74.342643   -30.984      -0.313    -1.800     0.025    -1.826
0140320007_01   40.869077  -74.151518    -4.729       2.389    -0.015     2.350     0.425
0140320008_01   40.462764  -74.295361    -1.381      -2.226    -1.988    -1.820    -2.363
0140320009_01   40.348343  -74.123108   -16.496      -2.615    -1.409    -2.310    -1.867
0140320010_01   40.600232  -75.454805    41.220       2.860    -0.757     2.949    -0.218
0140320011_01   40.627047  -74.167714   -25.800       4.060     2.228     3.577     2.937
0140320012_01   39.992673  -75.274339    41.869       0.124     0.624     0.007     0.636
0140320013_01   40.876867  -74.352585    25.543      -0.863     0.320    -0.907     0.155
0140320014_01   41.034599  -75.065550   265.632      -1.785    -1.715    -1.438    -2.012
0140320016_01   39.989676  -74.158986   -27.474      -0.167     0.916    -0.333     0.869
0140320017_01   40.909079  -74.530737   203.203      -2.925     0.906    -3.039     0.352
0140320018_01   40.362150  -74.024706   -18.215       1.322     0.860     1.139     1.089
0140320019_01   41.002140  -74.203678   125.341      -1.913    -0.714    -1.748    -1.053
0140320020_01   40.098094  -74.091837   -27.866       1.491    -0.014     1.467     0.262
0140320021_01   40.155362  -75.136205    49.267       3.919     1.919     3.495     2.608
0140320022_01   40.260332  -74.001827   -22.602      -1.575    -3.168    -0.964    -3.403
