==============================================================================
==============================================================================
Mon. Sep. 26 2016                  LANDSAT 5                       Time: 05:24
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609252927_05279                          Path / Row - 14 / 32
Reference Image: L51XXX1095231140101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320093   41.26767    -75.73268     0.11     -0.16     0.20     1 
0140320094   41.26790    -75.69544    -0.20      0.04     0.20     1 
0140320095   41.26812    -75.65819     0.06      0.06     0.08     1 
0140320168   41.24200    -75.73240    -0.00      0.15     0.15     1 
0140320169   41.24223    -75.69516     0.05      0.04     0.06     1 
0140320170   41.24244    -75.65793     0.08      0.17     0.19     1 
0140320171   41.24265    -75.62070     0.06      0.16     0.17     1 
0140320172   41.24285    -75.58347     0.07      0.09     0.12     1 
0140320173   41.24303    -75.54623    -0.03      0.17     0.17     1 
0140320174   41.24320    -75.50900     0.01      0.04     0.04     1 
0140320175   41.24336    -75.47177    -0.04      0.09     0.10     1 
0140320243   41.21632    -75.73211     0.05      0.14     0.15     1 
0140320244   41.21656    -75.69489     0.04      0.05     0.06     1 
0140320245   41.21677    -75.65767    -0.02      0.13     0.13     1 
0140320246   41.21698    -75.62046    -0.07      0.10     0.12     1 
0140320247   41.21717    -75.58324    -0.02      0.03     0.04     1 
0140320248   41.21736    -75.54602     0.02      0.03     0.04     1 
0140320249   41.21753    -75.50880     0.00     -0.02     0.02     1 
0140320250   41.21769    -75.47158     0.11     -0.02     0.11     1 
0140320251   41.21783    -75.43436    -0.11      0.21     0.24     1 
0140320252   41.21797    -75.39714    -0.00      0.10     0.10     1 
0140320253   41.21809    -75.35992    -0.17      0.16     0.23     1 
0140320254   41.21820    -75.32270     0.01      0.08     0.08     1 
0140320255   41.21830    -75.28548     0.05     -0.06     0.07     1 
0140320318   41.19065    -75.73182     0.04      0.14     0.15     1 
0140320319   41.19089    -75.69462     0.04      0.12     0.13     1 
0140320320   41.19110    -75.65742     0.01      0.17     0.17     1 
0140320321   41.19131    -75.62021    -0.04      0.20     0.20     1 
0140320322   41.19150    -75.58301     0.04      0.06     0.07     1 
0140320323   41.19169    -75.54581     0.02      0.20     0.20     1 
0140320324   41.19186    -75.50860    -0.15      0.16     0.22     1 
0140320325   41.19201    -75.47140    -0.05      0.15     0.16     1 
0140320326   41.19216    -75.43419    -0.05      0.06     0.08     1 
0140320327   41.19230    -75.39699    -0.09      0.02     0.09     1 
0140320328   41.19242    -75.35978    -0.05      0.03     0.06     1 
0140320329   41.19253    -75.32258     0.04      0.08     0.09     1 
0140320330   41.19263    -75.28537     0.14     -0.05     0.14     1 
0140320331   41.19271    -75.24816     0.01      0.00     0.01     1 
0140320332   41.19279    -75.21096    -0.10     -0.05     0.11     1 
0140320333   41.19285    -75.17375    -0.19      0.17     0.25     1 
0140320334   41.19290    -75.13654    -0.09      0.06     0.10     1 
0140320335   41.19294    -75.09934     0.09      0.03     0.10     1 
0140320394   41.16521    -75.69435     0.13      0.06     0.14     1 
0140320395   41.16543    -75.65716    -0.03     -0.01     0.04     1 
0140320396   41.16564    -75.61997    -0.11      0.21     0.23     1 
0140320397   41.16583    -75.58278     0.01      0.09     0.10     1 
0140320398   41.16602    -75.54559    -0.00      0.00     0.01     1 
0140320399   41.16618    -75.50840    -0.05      0.19     0.20     1 
0140320400   41.16634    -75.47121     0.02      0.11     0.11     1 
0140320401   41.16649    -75.43402     0.06      0.03     0.07     1 
0140320402   41.16662    -75.39683     0.06      0.01     0.06     1 
0140320403   41.16675    -75.35964     0.05     -0.03     0.06     1 
0140320404   41.16686    -75.32245    -0.03      0.11     0.11     1 
0140320405   41.16695    -75.28526     0.01     -0.02     0.03     1 
0140320406   41.16704    -75.24807    -0.01      0.00     0.01     1 
