Sat. Sep. 24, 2016             LANDSAT 5                 Time: 14:54
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19930718            Path/Row: 014 / 032

L0R Reference Image: L51XXX1096202140100_HDF.162681948
Acquisition Date: Jul 20, 1996

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       0.959     0.692     0.814     0.859
0140320002_01   40.844760  -73.788842   -27.396      -0.592    -1.312    -0.340    -1.400
0140320003_01   40.948134  -74.065321   -15.668       0.440    -0.716     0.563    -0.622
0140320005_01   39.597576  -74.342643   -30.984      -0.334     0.075    -0.345     0.010
0140320007_01   40.869077  -74.151518    -4.729       4.333     2.405     3.805     3.170
0140320008_01   40.462764  -74.295361    -1.381      -1.841    -1.535    -1.524    -1.851
0140320009_01   40.348343  -74.123108   -16.496      -4.926    -0.505    -4.745    -1.417
0140320010_01   40.600232  -75.454805    41.220       3.993    -0.246     3.969     0.503
0140320011_01   40.627047  -74.167714   -25.800       5.495     0.236     5.349     1.258
0140320012_01   39.992673  -75.274339    41.869      -5.512    -1.047    -5.214    -2.058
0140320014_01   41.034599  -75.065550   265.632      -3.574    -0.237    -3.462    -0.897
0140320016_01   39.989676  -74.158986   -27.474      -1.157     1.459    -1.412     1.215
0140320017_01   40.909079  -74.530737   203.203      -5.015     1.953    -5.287     0.983
0140320021_01   40.155362  -75.136205    49.267       0.003    -3.033     0.571    -2.977
0140320024_01   40.171667  -75.246519    38.178       0.387     4.490    -0.458     4.481
0140320025_01   39.957452  -75.178311   -28.973      -2.041    -0.271    -1.953    -0.648
0140320026_01   40.603280  -74.097800    16.189       2.621     2.984     2.015     3.419
0140320027_01   40.482680  -74.484165    -1.784       0.416    -0.174     0.439    -0.093
0140320028_01   40.569220  -74.938214   144.014      -5.445    -2.173    -4.939    -3.149
0140320030_01   39.894887  -74.752838   -18.246      -4.195     1.584    -4.417     0.770
