Sat. Sep. 24, 2016             LANDSAT 5                 Time: 13:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19929021            Path/Row: 014 / 032

L0R Reference Image: L51XXX1096218140100_HDF.162681818
Acquisition Date: Aug 05, 1996

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       1.609    -0.639     1.704    -0.326
0140320002_01   40.844760  -73.788842   -27.396       2.678    -1.212     2.849    -0.693
0140320003_01   40.948134  -74.065321   -15.668       3.969    -0.986     4.077    -0.230
0140320004_01   40.978516  -73.787468    47.304       0.272     1.362     0.007     1.387
0140320005_01   39.597576  -74.342643   -30.984      -1.179    -1.491    -0.885    -1.686
0140320007_01   40.869077  -74.151518    -4.729       4.179     0.785     3.954     1.548
0140320008_01   40.462764  -74.295361    -1.381       0.423    -3.917     1.142    -3.768
0140320009_01   40.348343  -74.123108   -16.496      -3.874     0.414    -3.887    -0.318
0140320010_01   40.600232  -75.454805    41.220       2.859    -1.311     3.058    -0.754
0140320011_01   40.627047  -74.167714   -25.800       5.931     1.201     5.596     2.285
0140320013_01   40.876867  -74.352585    25.543      -1.332     0.486    -1.401     0.228
0140320014_01   41.034599  -75.065550   265.632      -0.317     3.609    -0.978     3.485
0140320016_01   39.989676  -74.158986   -27.474      -6.669    -6.674    -5.308    -7.802
0140320018_01   40.362150  -74.024706   -18.215      -1.975    -1.643    -1.639    -1.984
0140320019_01   41.002140  -74.203678   125.341      -2.448     1.654    -2.714     1.168
0140320020_01   40.098094  -74.091837   -27.866       0.533    -0.403     0.592    -0.297
0140320021_01   40.155362  -75.136205    49.267       3.274     0.886     3.052     1.482
0140320022_01   40.260332  -74.001827   -22.602      -1.618    -1.593    -1.298    -1.868
0140320023_01   40.207880  -74.441131    51.843      -4.802     2.618    -5.206     1.673
0140320024_01   40.171667  -75.246519    38.178      -4.504     0.646    -4.539    -0.205
