Fri. Sep. 23, 2016             LANDSAT 5                 Time: 14:04
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19902046            Path/Row: 014 / 032

L0R Reference Image: L51XXX1097172150100_HDF.162671901
Acquisition Date: Jun 21, 1997

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       1.667    -5.555     2.672    -5.145
0140320002_01   40.844760  -73.788842   -27.396       0.718    -1.764     1.033    -1.599
0140320003_01   40.948134  -74.065321   -15.668       0.436     2.125     0.035     2.169
0140320004_01   40.978516  -73.787468    47.304      -3.658    -1.381    -3.336    -2.035
0140320005_01   39.597576  -74.342643   -30.984      -0.360    -2.038     0.027    -2.069
0140320006_01   40.864834  -73.649647    -0.304       1.766    -1.999     2.106    -1.635
0140320007_01   40.869077  -74.151518    -4.729       4.252     0.757     4.037     1.533
0140320008_01   40.462764  -74.295361    -1.381      -2.788    -1.049    -2.543    -1.549
0140320009_01   40.348343  -74.123108   -16.496      -4.826     0.376    -4.808    -0.528
0140320010_01   40.600232  -75.454805    41.220       5.418    -1.401     5.580    -0.371
0140320011_01   40.627047  -74.167714   -25.800       4.964    -2.702     5.377    -1.732
0140320012_01   39.992673  -75.274339    41.869      -2.156     1.482    -2.393     1.054
0140320013_01   40.876867  -74.352585    25.543      -4.576     3.127    -5.074     2.222
0140320014_01   41.034599  -75.065550   265.632      -0.230    -1.315     0.017    -1.334
0140320015_01   40.732542  -73.708102    -4.949       0.563     0.745     0.416     0.836
0140320016_01   39.989676  -74.158986   -27.474      -0.283     1.481    -0.552     1.402
0140320017_01   40.909079  -74.530737   203.203      -4.625     1.175    -4.759     0.297
0140320018_01   40.362150  -74.024706   -18.215      -3.405    -3.155    -2.756    -3.732
0140320019_01   41.002140  -74.203678   125.341      -4.953     2.671    -5.358     1.705
0140320020_01   40.098094  -74.091837   -27.866       1.067    -1.728     1.370    -1.498
