==============================================================================
==============================================================================
Fri. Sep. 23 2016                  LANDSAT 5                       Time: 19:06
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609232439_07093                          Path / Row - 14 / 32
Reference Image: L51XXX1097172150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320093   41.23845    -75.54261    -0.04     -0.03     0.05     1 
0140320094   41.23862    -75.50538    -0.07     -0.14     0.15     1 
0140320095   41.23878    -75.46815    -0.19      0.02     0.19     1 
0140320096   41.23892    -75.43092    -0.15      0.02     0.15     1 
0140320166   41.21214    -75.61683    -0.09     -0.05     0.11     1 
0140320167   41.21233    -75.57962    -0.05      0.01     0.05     1 
0140320170   41.21284    -75.46797     0.12     -0.14     0.18     1 
0140320172   41.21312    -75.39353    -0.29     -0.07     0.30     1 
0140320241   41.18619    -75.61659    -0.02      0.01     0.02     1 
0140320243   41.18657    -75.54219    -0.01      0.05     0.06     1 
0140320246   41.18704    -75.43058    -0.01     -0.03     0.03     1 
0140320248   41.18729    -75.35618    -0.18     -0.07     0.19     1 
0140320251   41.18758    -75.24457    -0.07      0.06     0.09     1 
0140320252   41.18766    -75.20736    -0.09     -0.00     0.09     1 
0140320253   41.18772    -75.17016    -0.29     -0.02     0.29     1 
0140320254   41.18777    -75.13296     0.11     -0.07     0.13     1 
0140320255   41.18780    -75.09575    -0.04     -0.04     0.05     1 
0140320315   41.16005    -75.65353     0.08     -0.05     0.10     1 
0140320318   41.16063    -75.54197    -0.32      0.01     0.32     1 
0140320326   41.16164    -75.24447    -0.20     -0.02     0.20     1 
0140320327   41.16172    -75.20728    -0.10     -0.02     0.10     1 
0140320328   41.16178    -75.17009     0.02     -0.01     0.02     1 
0140320329   41.16183    -75.13290    -0.24      0.00     0.24     1 
0140320330   41.16186    -75.09571     0.05      0.04     0.07     1 
0140320331   41.16189    -75.05853    -0.05     -0.10     0.11     1 
0140320333   41.16190    -74.98415     0.15      0.04     0.16     1 
0140320334   41.16189    -74.94696     0.00     -0.03     0.03     1 
0140320335   41.16187    -74.90977    -0.06     -0.05     0.08     1 
0140320336   41.16183    -74.87258     0.25     -0.15     0.29     1 
0140320391   41.13431    -75.61610    -0.11     -0.02     0.11     1 
0140320392   41.13450    -75.57893    -0.08      0.01     0.08     1 
0140320393   41.13468    -75.54176    -0.15     -0.10     0.18     1 
0140320398   41.13541    -75.35590     0.09      0.05     0.10     1 
0140320400   41.13562    -75.28155     0.07      0.09     0.11     1 
0140320401   41.13570    -75.24437     0.07      0.00     0.07     1 
0140320403   41.13583    -75.17002    -0.27      0.03     0.28     1 
0140320404   41.13588    -75.13285    -0.14      0.02     0.14     1 
0140320405   41.13592    -75.09568     0.06      0.00     0.06     1 
0140320406   41.13594    -75.05850    -0.23     -0.01     0.23     1 
0140320407   41.13596    -75.02133    -0.06     -0.04     0.08     1 
0140320408   41.13596    -74.98415     0.04      0.06     0.07     1 
0140320409   41.13595    -74.94698    -0.12      0.17     0.21     1 
0140320410   41.13592    -74.90980     0.07     -0.04     0.08     1 
0140320411   41.13589    -74.87263    -0.03     -0.03     0.04     1 
0140320412   41.13584    -74.83545    -0.19     -0.07     0.21     1 
0140320413   41.13578    -74.79828    -0.03     -0.06     0.07     1 
0140320414   41.13571    -74.76111     0.05     -0.10     0.11     1 
0140320415   41.13563    -74.72393     0.05     -0.06     0.08     1 
0140320466   41.10837    -75.61586    -0.06     -0.00     0.06     1 
0140320467   41.10856    -75.57870     0.03      0.00     0.03     1 
0140320469   41.10891    -75.50439     0.11     -0.06     0.12     1 
0140320470   41.10907    -75.46723    -0.13      0.05     0.14     1 
0140320471   41.10921    -75.43007    -0.09      0.10     0.13     1 
0140320472   41.10935    -75.39291    -0.18     -0.03     0.18     1 
