Thu. Sep. 22, 2016             LANDSAT 5                 Time: 18:58
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19877458            Path/Row: 014 / 032

L0R Reference Image: L51XXX1098255150100_HDF.162662356
Acquisition Date: Sep 12, 1998

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455      -0.549    -0.351    -0.476    -0.447
0140320002_01   40.844760  -73.788842   -27.396      -1.835     0.065    -1.811    -0.275
0140320003_01   40.948134  -74.065321   -15.668       1.348     1.668     1.019     1.889
0140320004_01   40.978516  -73.787468    47.304      -1.158    -1.856    -0.791    -2.037
0140320005_01   39.597576  -74.342643   -30.984       0.161     1.129    -0.048     1.139
0140320007_01   40.869077  -74.151518    -4.729       1.311     1.322     1.046     1.542
0140320008_01   40.462764  -74.295361    -1.381       1.131    -0.195     1.149     0.018
0140320009_01   40.348343  -74.123108   -16.496      -2.394    -0.285    -2.295    -0.723
0140320010_01   40.600232  -75.454805    41.220       1.884    -1.895     2.199    -1.514
0140320011_01   40.627047  -74.167714   -25.800       3.542     0.397     3.409     1.046
0140320012_01   39.992673  -75.274339    41.869       0.467    -1.095     0.661    -0.989
0140320013_01   40.876867  -74.352585    25.543      -0.236     1.452    -0.498     1.383
0140320014_01   41.034599  -75.065550   265.632      -1.667     2.401    -2.082     2.049
0140320015_01   40.732542  -73.708102    -4.949       0.461     1.302     0.217     1.366
0140320016_01   39.989676  -74.158986   -27.474      -0.737     1.944    -1.081     1.773
0140320017_01   40.909079  -74.530737   203.203      -2.708     0.724    -2.793     0.211
0140320018_01   40.362150  -74.024706   -18.215      -1.244    -3.250    -0.616    -3.422
0140320019_01   41.002140  -74.203678   125.341      -2.058     0.954    -2.195     0.557
0140320020_01   40.098094  -74.091837   -27.866      -1.626    -0.873    -1.431    -1.159
0140320021_01   40.155362  -75.136205    49.267      -0.552    -1.138    -0.333    -1.220
