Sun. Sep. 18, 2016             LANDSAT 5                 Time: 07:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19798430            Path/Row: 014 / 032

L0R Reference Image: L51XXX1000261150100_HDF.162621232
Acquisition Date: Sep 17, 2000

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455      -4.663    -0.409    -4.505    -1.272
0140320002_01   40.844760  -73.788842   -27.396      -0.543    -1.076    -0.326    -1.157
0140320003_01   40.948134  -74.065321   -15.668       0.717     1.586     0.414     1.691
0140320004_01   40.978516  -73.787468    47.304      -0.941    -1.581    -0.624    -1.726
0140320005_01   39.597576  -74.342643   -30.984       0.081     0.956    -0.094     0.955
0140320006_01   40.864834  -73.649647    -0.304      -3.305    -6.507    -2.029    -7.004
0140320007_01   40.869077  -74.151518    -4.729       1.546     1.689     1.208     1.947
0140320008_01   40.462764  -74.295361    -1.381       0.762    -0.408     0.829    -0.257
0140320009_01   40.348343  -74.123108   -16.496       0.219    -0.870     0.382    -0.813
0140320010_01   40.600232  -75.454805    41.220       2.010    -2.569     2.448    -2.150
0140320011_01   40.627047  -74.167714   -25.800       0.830     0.231     0.777     0.382
0140320012_01   39.992673  -75.274339    41.869      -0.010    -0.985     0.172    -0.969
0140320013_01   40.876867  -74.352585    25.543      -0.141     2.563    -0.612     2.491
0140320014_01   41.034599  -75.065550   265.632       0.902    -0.592     0.992    -0.415
0140320015_01   40.732542  -73.708102    -4.949       0.728     1.230     0.493     1.345
0140320016_01   39.989676  -74.158986   -27.474      -0.217    -0.522    -0.110    -0.552
0140320017_01   40.909079  -74.530737   203.203      -1.509     2.681    -1.979     2.352
0140320018_01   40.362150  -74.024706   -18.215       0.428    -2.565     0.904    -2.438
0140320019_01   41.002140  -74.203678   125.341      -1.602     0.707    -1.701     0.397
0140320020_01   40.098094  -74.091837   -27.866       0.038    -1.205     0.269    -1.175
