==============================================================================
==============================================================================
Sun. Sep. 18 2016                  LANDSAT 5                       Time: 12:36
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609171697_03762                          Path / Row - 14 / 32
Reference Image: L51XXX1000261150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320016   41.28231    -75.72496     0.09      0.01     0.09     1 
0140320092   41.25659    -75.68744     0.05      0.09     0.10     1 
0140320093   41.25681    -75.65020     0.05      0.14     0.14     1 
0140320094   41.25702    -75.61296     0.05      0.10     0.11     1 
0140320096   41.25739    -75.53848    -0.03      0.10     0.10     1 
0140320170   41.23127    -75.57549     0.05      0.13     0.14     1 
0140320171   41.23145    -75.53826     0.02      0.10     0.11     1 
0140320172   41.23161    -75.50104     0.05      0.08     0.09     1 
0140320173   41.23177    -75.46381     0.00      0.11     0.11     1 
0140320174   41.23191    -75.42658    -0.01      0.11     0.11     1 
0140320175   41.23205    -75.38935     0.08      0.07     0.11     1 
0140320242   41.20471    -75.68690     0.06      0.11     0.12     1 
0140320243   41.20493    -75.64968     0.06      0.12     0.13     1 
0140320245   41.20533    -75.57526    -0.01      0.07     0.07     1 
0140320246   41.20551    -75.53805     0.04      0.13     0.13     1 
0140320247   41.20567    -75.50084     0.06      0.09     0.11     1 
0140320249   41.20597    -75.42641     0.02     -0.00     0.02     1 
0140320250   41.20610    -75.38920     0.01      0.04     0.04     1 
0140320252   41.20633    -75.31477     0.04      0.08     0.09     1 
0140320253   41.20643    -75.27756     0.02     -0.01     0.02     1 
0140320255   41.20658    -75.20313    -0.04     -0.00     0.04     1 
0140320319   41.17919    -75.61223     0.01      0.12     0.12     1 
0140320320   41.17938    -75.57503     0.02      0.14     0.14     1 
0140320323   41.17989    -75.46344     0.02      0.10     0.10     1 
0140320324   41.18003    -75.42624     0.02      0.03     0.03     1 
0140320325   41.18016    -75.38904     0.03      0.09     0.09     1 
0140320326   41.18028    -75.35185     0.05      0.06     0.07     1 
0140320327   41.18039    -75.31465     0.03      0.06     0.07     1 
0140320328   41.18048    -75.27745    -0.04      0.04     0.06     1 
0140320330   41.18064    -75.20305    -0.03      0.03     0.04     1 
0140320331   41.18070    -75.16585    -0.10      0.00     0.10     1 
0140320333   41.18078    -75.09145    -0.05     -0.02     0.06     1 
0140320334   41.18081    -75.05425    -0.04      0.01     0.05     1 
0140320335   41.18082    -75.01705    -0.03      0.04     0.04     1 
0140320395   41.15344    -75.57481     0.03      0.13     0.13     1 
0140320398   41.15395    -75.46326     0.04      0.15     0.15     1 
0140320400   41.15422    -75.38889     0.06      0.12     0.13     1 
0140320401   41.15434    -75.35171    -0.01      0.04     0.04     1 
0140320402   41.15445    -75.31452     0.04      0.10     0.10     1 
0140320403   41.15454    -75.27734     0.03      0.02     0.03     1 
0140320404   41.15463    -75.24015     0.03      0.02     0.04     1 
0140320405   41.15470    -75.20297    -0.06      0.07     0.09     1 
0140320406   41.15476    -75.16578    -0.05      0.07     0.08     1 
0140320407   41.15480    -75.12860    -0.03      0.03     0.05     1 
0140320408   41.15484    -75.09141    -0.03     -0.01     0.03     1 
0140320409   41.15486    -75.05423    -0.03     -0.05     0.06     1 
0140320410   41.15487    -75.01704    -0.04      0.02     0.05     1 
0140320411   41.15487    -74.97986    -0.06     -0.03     0.07     1 
0140320412   41.15486    -74.94267    -0.04      0.03     0.05     1 
0140320413   41.15484    -74.90549     0.03      0.00     0.03     1 
0140320414   41.15480    -74.86830    -0.01     -0.04     0.04     1 
0140320415   41.15475    -74.83112     0.02     -0.04     0.04     1 
0140320465   41.12642    -75.76041     0.02      0.10     0.10     1 
0140320469   41.12731    -75.61175     0.04      0.11     0.12     1 
0140320471   41.12768    -75.53741     0.02      0.09     0.10     1 
0140320472   41.12785    -75.50024     0.04      0.11     0.12     1 
