Fri. Sep. 16, 2016             LANDSAT 5                 Time: 11:09
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19743879            Path/Row: 014 / 032

L0R Reference Image: L51LGS1002186150100_HDF.162601602
Acquisition Date: Jul 05, 2002

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       1.312    -2.677     1.785    -2.386
0140320002_01   40.844760  -73.788842   -27.396       1.573    -4.291     2.340    -3.924
0140320003_01   40.948134  -74.065321   -15.668       0.196     1.724    -0.124     1.730
0140320004_01   40.978516  -73.787468    47.304      -3.556     1.336    -3.736     0.655
0140320005_01   39.597576  -74.342643   -30.984      -0.435     0.009    -0.426    -0.072
0140320006_01   40.864834  -73.649647    -0.304      -4.528    -4.495    -3.614    -5.253
0140320007_01   40.869077  -74.151518    -4.729       3.018     3.252     2.365     3.752
0140320008_01   40.462764  -74.295361    -1.381       0.539     1.011     0.344     1.093
0140320009_01   40.348343  -74.123108   -16.496      -3.153     2.273    -3.515     1.648
0140320010_01   40.600232  -75.454805    41.220       3.006    -5.361     3.943    -4.710
0140320011_01   40.627047  -74.167714   -25.800       3.082    -1.110     3.234    -0.520
0140320012_01   39.992673  -75.274339    41.869      -0.151     1.345    -0.398     1.292
0140320013_01   40.876867  -74.352585    25.543      -1.456     3.340    -2.046     3.012
0140320014_01   41.034599  -75.065550   265.632      -2.817     0.779    -2.910     0.245
0140320015_01   40.732542  -73.708102    -4.949       0.455     3.785    -0.250     3.802
0140320016_01   39.989676  -74.158986   -27.474      -3.970     0.164    -3.927    -0.576
0140320017_01   40.909079  -74.530737   203.203      -4.252     2.198    -4.581     1.373
0140320018_01   40.362150  -74.024706   -18.215      -2.313    -1.139    -2.059    -1.547
0140320019_01   41.002140  -74.203678   125.341      -2.802     2.132    -3.143     1.576
0140320020_01   40.098094  -74.091837   -27.866       0.211    -0.648     0.330    -0.597
