Fri. Sep. 16, 2016             LANDSAT 5                 Time: 05:24
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19736680            Path/Row: 014 / 032

L0R Reference Image: L51LGS1002250150100_HDF.162601022
Acquisition Date: Sep 07, 2002

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       2.065    -1.401     2.289    -0.993
0140320002_01   40.844760  -73.788842   -27.396      -0.299    -0.401    -0.222    -0.450
0140320003_01   40.948134  -74.065321   -15.668       0.438     1.915     0.076     1.962
0140320005_01   39.597576  -74.342643   -30.984       0.752     1.530     0.453     1.642
0140320006_01   40.864834  -73.649647    -0.304       1.665    -1.252     1.865    -0.922
0140320007_01   40.869077  -74.151518    -4.729       2.464     1.663     2.113     2.088
0140320008_01   40.462764  -74.295361    -1.381       1.992    -0.700     2.085    -0.319
0140320009_01   40.348343  -74.123108   -16.496      -1.862    -1.352    -1.580    -1.673
0140320010_01   40.600232  -75.454805    41.220       1.425    -3.418     2.032    -3.094
0140320011_01   40.627047  -74.167714   -25.800       0.237    -1.269     0.466    -1.203
0140320012_01   39.992673  -75.274339    41.869      -1.314     0.083    -1.306    -0.162
0140320013_01   40.876867  -74.352585    25.543      -0.163     2.045    -0.538     1.978
0140320014_01   41.034599  -75.065550   265.632       1.040    -2.025     1.395    -1.796
0140320015_01   40.732542  -73.708102    -4.949      -0.071     0.712    -0.203     0.686
0140320016_01   39.989676  -74.158986   -27.474      -1.072     0.930    -1.227     0.714
0140320017_01   40.909079  -74.530737   203.203      -2.820     1.095    -2.972     0.554
0140320018_01   40.362150  -74.024706   -18.215      -1.790    -2.014    -1.387    -2.310
0140320019_01   41.002140  -74.203678   125.341      -1.344     1.521    -1.601     1.246
0140320020_01   40.098094  -74.091837   -27.866      -1.823     0.383    -1.863     0.037
0140320021_01   40.155362  -75.136205    49.267      -0.084     1.499    -0.360     1.456
