Thu. Sep. 15, 2016             LANDSAT 5                 Time: 07:46
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19708878            Path/Row: 014 / 032

L0R Reference Image: L51GNC1003237150100_HDF.162591244
Acquisition Date: Aug 25, 2003

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       0.964    -0.962     1.126    -0.765
0140320002_01   40.844760  -73.788842   -27.396      -1.528    -1.561    -1.211    -1.818
0140320003_01   40.948134  -74.065321   -15.668       0.431    -0.843     0.579    -0.747
0140320004_01   40.978516  -73.787468    47.304      -2.863     0.301    -2.867    -0.237
0140320005_01   39.597576  -74.342643   -30.984      -1.472    -1.874    -1.096    -2.115
0140320006_01   40.864834  -73.649647    -0.304       0.547    -1.976     0.904    -1.838
0140320007_01   40.869077  -74.151518    -4.729       1.790     3.042     1.193     3.321
0140320008_01   40.462764  -74.295361    -1.381       2.523    -0.169     2.508     0.305
0140320009_01   40.348343  -74.123108   -16.496      -2.846     1.622    -3.097     1.062
0140320010_01   40.600232  -75.454805    41.220       2.632    -2.023     2.961    -1.497
0140320011_01   40.627047  -74.167714   -25.800       2.335    -2.227     2.707    -1.752
0140320012_01   39.992673  -75.274339    41.869       0.379    -0.181     0.406    -0.107
0140320013_01   40.876867  -74.352585    25.543      -2.114     1.600    -2.373     1.178
0140320014_01   41.034599  -75.065550   265.632      -3.164    -5.291    -2.123    -5.780
0140320015_01   40.732542  -73.708102    -4.949       0.054     2.222    -0.361     2.192
0140320016_01   39.989676  -74.158986   -27.474      -1.733    -0.854    -1.543    -1.163
0140320018_01   40.362150  -74.024706   -18.215      -1.735    -0.838    -1.549    -1.146
0140320019_01   41.002140  -74.203678   125.341      -1.944     3.128    -2.490     2.710
0140320020_01   40.098094  -74.091837   -27.866       0.729    -0.448     0.799    -0.304
0140320021_01   40.155362  -75.136205    49.267       2.742     3.177     2.100     3.630
