Sun. Sep. 11, 2016             LANDSAT 5                 Time: 22:24
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19613983            Path/Row: 014 / 032

L0R Reference Image: L51GNC1005226150100_HDF.162560322
Acquisition Date: Aug 14, 2005

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455      -0.332    -3.831     0.391    -3.824
0140320002_01   40.844760  -73.788842   -27.396      -2.821    -0.180    -2.740    -0.703
0140320004_01   40.978516  -73.787468    47.304      -2.286     1.660    -2.556     1.204
0140320005_01   39.597576  -74.342643   -30.984      -1.148    -0.180    -1.095    -0.392
0140320007_01   40.869077  -74.151518    -4.729       3.341     1.910     2.924     2.497
0140320008_01   40.462764  -74.295361    -1.381       2.564    -2.855     3.048    -2.325
0140320009_01   40.348343  -74.123108   -16.496      -3.428     2.902    -3.909     2.209
0140320010_01   40.600232  -75.454805    41.220       3.139    -3.789     3.790    -3.136
0140320011_01   40.627047  -74.167714   -25.800       1.417    -2.998     1.947    -2.680
0140320012_01   39.992673  -75.274339    41.869       0.241     1.677    -0.075     1.691
0140320013_01   40.876867  -74.352585    25.543      -2.666     1.702    -2.935     1.175
0140320014_01   41.034599  -75.065550   265.632       0.762     3.256     0.144     3.337
0140320015_01   40.732542  -73.708102    -4.949       3.385     0.015     3.318     0.645
0140320016_01   39.989676  -74.158986   -27.474      -2.834     2.748    -3.297     2.168
0140320018_01   40.362150  -74.024706   -18.215      -2.427    -0.532    -2.286    -0.976
0140320019_01   41.002140  -74.203678   125.341      -2.761     3.955    -3.447     3.369
0140320020_01   40.098094  -74.091837   -27.866      -1.262     1.352    -1.494     1.091
0140320021_01   40.155362  -75.136205    49.267      -0.210    -0.166    -0.174    -0.202
0140320022_01   40.260332  -74.001827   -22.602      -2.776    -2.530    -2.257    -3.004
0140320023_01   40.207880  -74.441131    51.843       0.848    -3.269     1.440    -3.051
