Fri. Sep.  9, 2016             LANDSAT 5                 Time: 16:12
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19559920            Path/Row: 014 / 032

L0R Reference Image: L51GNC1006197150100_HDF.162532109
Acquisition Date: Jul 16, 2006

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455      -2.599    -2.090    -2.162    -2.536
0140320002_01   40.844760  -73.788842   -27.396      -2.952    -1.552    -2.613    -2.073
0140320003_01   40.948134  -74.065321   -15.668      -0.757    -0.370    -0.676    -0.504
0140320004_01   40.978516  -73.787468    47.304      -1.897     1.292    -2.104     0.916
0140320005_01   39.597576  -74.342643   -30.984      -1.076    -2.310    -0.627    -2.469
0140320007_01   40.869077  -74.151518    -4.729       2.410     2.960     1.817     3.355
0140320008_01   40.462764  -74.295361    -1.381       5.785     0.910     5.511     1.970
0140320009_01   40.348343  -74.123108   -16.496      -4.683     2.329    -5.032     1.415
0140320012_01   39.992673  -75.274339    41.869      -0.368     1.049    -0.556     0.962
0140320013_01   40.876867  -74.352585    25.543      -1.629     0.308    -1.658    -0.000
0140320014_01   41.034599  -75.065550   265.632       2.285     0.621     2.129     1.033
0140320016_01   39.989676  -74.158986   -27.474      -2.041    -0.162    -1.976    -0.540
0140320017_01   40.909079  -74.530737   203.203      -0.338     0.356    -0.399     0.287
0140320018_01   40.362150  -74.024706   -18.215      -4.184    -1.207    -3.885    -1.965
0140320019_01   41.002140  -74.203678   125.341       2.290     1.663     1.939     2.057
0140320020_01   40.098094  -74.091837   -27.866      -0.432    -0.731    -0.289    -0.798
0140320021_01   40.155362  -75.136205    49.267      -1.249    -1.559    -0.936    -1.763
0140320022_01   40.260332  -74.001827   -22.602      -1.355    -1.984    -0.964    -2.201
0140320023_01   40.207880  -74.441131    51.843       0.193     2.097    -0.201     2.095
0140320024_01   40.171667  -75.246519    38.178      -4.493    -0.227    -4.368    -1.059
