==============================================================================
==============================================================================
Sun. Sep. 11 2016                  LANDSAT 5                       Time: 05:39
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609080147_09480                          Path / Row - 14 / 32
Reference Image: L51GNC1006213150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320090   41.24610    -75.72421     0.03      0.02     0.03     1 
0140320166   41.22066    -75.68635    -0.01      0.23     0.23     1 
0140320326   41.17094    -75.31031     0.02      0.08     0.08     1 
0140320327   41.17104    -75.27276     0.05      0.01     0.05     1 
0140320332   41.17133    -75.08500     0.19      0.01     0.19     1 
0140320403   41.14545    -75.23511    -0.03      0.04     0.05     1 
0140320414   41.14555    -74.82220    -0.21      0.05     0.21     1 
0140320464   41.11751    -75.76031     0.14     -0.14     0.20     1 
0140320465   41.11775    -75.72279     0.05      0.26     0.26     1 
0140320467   41.11819    -75.64776    -0.13      0.10     0.16     1 
0140320468   41.11840    -75.61024    -0.02      0.09     0.09     1 
0140320476   41.11960    -75.31007    -0.04     -0.03     0.05     1 
0140320485   41.12001    -74.97236    -0.11      0.02     0.12     1 
0140320488   41.11993    -74.85980    -0.04     -0.02     0.05     1 
0140320491   41.11974    -74.74723     0.07      0.01     0.07     1 
0140320492   41.11965    -74.70971     0.04      0.09     0.10     1 
0140320493   41.11955    -74.67218     0.12      0.02     0.12     1 
0140320494   41.11944    -74.63466     0.17      0.01     0.17     1 
0140320539   41.09184    -75.76002    -0.13      0.02     0.13     1 
0140320543   41.09273    -75.61000    -0.03      0.11     0.12     1 
0140320544   41.09292    -75.57249     0.05      0.05     0.07     1 
0140320552   41.09402    -75.27244     0.06     -0.07     0.09     1 
0140320558   41.09433    -75.04739     0.10     -0.02     0.10     1 
0140320559   41.09434    -75.00988    -0.04      0.09     0.10     1 
0140320560   41.09434    -74.97237    -0.08      0.02     0.08     1 
0140320561   41.09432    -74.93487    -0.03     -0.06     0.06     1 
0140320562   41.09430    -74.89736    -0.08      0.04     0.09     1 
0140320563   41.09426    -74.85985    -0.03     -0.04     0.05     1 
0140320564   41.09421    -74.82234     0.20     -0.10     0.22     1 
0140320565   41.09414    -74.78483     0.10      0.04     0.11     1 
0140320566   41.09407    -74.74733     0.06      0.06     0.08     1 
0140320567   41.09398    -74.70982     0.09      0.09     0.13     1 
0140320568   41.09388    -74.67231    -0.06      0.05     0.08     1 
0140320569   41.09376    -74.63480     0.04     -0.00     0.04     1 
0140320570   41.09364    -74.59730     0.02     -0.01     0.02     1 
0140320571   41.09350    -74.55979    -0.16      0.01     0.16     1 
0140320572   41.09335    -74.52228     0.12      0.19     0.22     1 
0140320574   41.09302    -74.44727    -0.18      0.05     0.19     1 
0140320617   41.06685    -75.64725     0.06      0.04     0.07     1 
0140320618   41.06706    -75.60976     0.05      0.16     0.17     1 
0140320621   41.06760    -75.49729     0.02      0.11     0.11     1 
0140320630   41.06856    -75.15985    -0.18     -0.06     0.19     1 
0140320632   41.06864    -75.08487    -0.06      0.04     0.07     1 
0140320633   41.06866    -75.04737     0.06     -0.07     0.09     1 
0140320634   41.06867    -75.00988    -0.06      0.07     0.09     1 
0140320635   41.06867    -74.97239     0.05     -0.01     0.06     1 
0140320636   41.06865    -74.93489    -0.05      0.14     0.15     1 
0140320637   41.06862    -74.89740    -0.03      0.06     0.06     1 
0140320638   41.06858    -74.85990     0.02      0.14     0.14     1 
0140320639   41.06853    -74.82241    -0.01     -0.14     0.14     1 
0140320640   41.06847    -74.78492    -0.06      0.08     0.09     1 
0140320641   41.06839    -74.74743    -0.08     -0.00     0.08     1 
0140320642   41.06830    -74.70993     0.06     -0.03     0.07     1 
0140320643   41.06820    -74.67244    -0.01     -0.00     0.01     1 
0140320644   41.06809    -74.63495     0.07      0.09     0.11     1 
