Tue. Sep.  6, 2016             LANDSAT 5                 Time: 22:18
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19502383            Path/Row: 014 / 032

L0R Reference Image: L51GNC1007216150101_HDF.162510314
Acquisition Date: Aug 04, 2007

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455      -1.148    -0.117    -1.106    -0.328
0140320002_01   40.844760  -73.788842   -27.396      -1.671     1.486    -1.915     1.151
0140320003_01   40.948134  -74.065321   -15.668      -1.762     2.733    -2.235     2.359
0140320004_01   40.978516  -73.787468    47.304      -2.941    -1.460    -2.619    -1.978
0140320005_01   39.597576  -74.342643   -30.984      -1.435    -1.310    -1.166    -1.553
0140320008_01   40.462764  -74.295361    -1.381       3.145    -2.087     3.475    -1.468
0140320009_01   40.348343  -74.123108   -16.496      -2.418     1.156    -2.588     0.687
0140320010_01   40.600232  -75.454805    41.220       3.872    -2.077     4.186    -1.325
0140320011_01   40.627047  -74.167714   -25.800       3.591    -5.321     4.511    -4.562
0140320012_01   39.992673  -75.274339    41.869       0.742     0.866     0.567     0.988
0140320014_01   41.034599  -75.065550   265.632      -0.256    -0.396    -0.178    -0.436
0140320015_01   40.732542  -73.708102    -4.949       1.391     3.910     0.645     4.098
0140320016_01   39.989676  -74.158986   -27.474      -3.141     1.232    -3.313     0.627
0140320017_01   40.909079  -74.530737   203.203       0.152     0.142     0.123     0.167
0140320018_01   40.362150  -74.024706   -18.215      -4.036    -3.901    -3.242    -4.580
0140320019_01   41.002140  -74.203678   125.341      -0.602     0.753    -0.729     0.628
0140320020_01   40.098094  -74.091837   -27.866      -1.160     0.468    -1.226     0.245
0140320021_01   40.155362  -75.136205    49.267      -0.050    -1.454     0.220    -1.437
0140320022_01   40.260332  -74.001827   -22.602      -3.542    -1.478    -3.204    -2.108
0140320024_01   40.171667  -75.246519    38.178      -3.570     1.752    -3.830     1.060
