==============================================================================
==============================================================================
Wed. Sep. 7 2016                  LANDSAT 5                       Time: 03:40
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609062452_05649                          Path / Row - 14 / 32
Reference Image: L51GNC1007216150101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320091   41.23541    -75.70583    -0.03     -0.04     0.05     1 
0140320093   41.23585    -75.62994     0.15      0.05     0.16     1 
0140320094   41.23605    -75.59200     0.13     -0.01     0.13     1 
0140320095   41.23624    -75.55405     0.15      0.04     0.16     1 
0140320165   41.20950    -75.74348    -0.01     -0.12     0.12     1 
0140320166   41.20974    -75.70556     0.11     -0.05     0.12     1 
0140320167   41.20996    -75.66763     0.06     -0.02     0.07     1 
0140320168   41.21017    -75.62970     0.01      0.00     0.01     1 
0140320169   41.21038    -75.59177     0.08     -0.02     0.09     1 
0140320170   41.21057    -75.55384     0.07     -0.02     0.07     1 
0140320172   41.21090    -75.47797     0.10     -0.06     0.11     1 
0140320173   41.21106    -75.44004    -0.04      0.06     0.07     1 
0140320174   41.21119    -75.40211    -0.12     -0.02     0.12     1 
0140320240   41.18383    -75.74319     0.11     -0.04     0.12     1 
0140320241   41.18406    -75.70528    -0.03     -0.00     0.03     1 
0140320242   41.18429    -75.66737     0.04     -0.04     0.06     1 
0140320243   41.18450    -75.62945     0.02     -0.01     0.02     1 
0140320244   41.18471    -75.59153     0.09     -0.02     0.10     1 
0140320245   41.18489    -75.55362    -0.01      0.04     0.04     1 
0140320247   41.18523    -75.47779     0.03     -0.07     0.08     1 
0140320248   41.18538    -75.43987     0.08      0.04     0.09     1 
0140320249   41.18552    -75.40195     0.05      0.05     0.07     1 
0140320250   41.18565    -75.36404    -0.02      0.04     0.04     1 
0140320251   41.18576    -75.32612     0.09      0.05     0.11     1 
0140320252   41.18586    -75.28820     0.09      0.05     0.11     1 
0140320253   41.18595    -75.25028     0.01     -0.01     0.02     1 
0140320254   41.18603    -75.21237    -0.07     -0.02     0.08     1 
0140320315   41.15816    -75.74290     0.02      0.02     0.02     1 
0140320316   41.15839    -75.70500     0.18     -0.03     0.19     1 
0140320317   41.15862    -75.66711     0.16      0.03     0.17     1 
0140320318   41.15883    -75.62920    -0.09      0.04     0.10     1 
0140320319   41.15903    -75.59130     0.02     -0.06     0.06     1 
0140320320   41.15922    -75.55340    -0.05      0.01     0.05     1 
0140320321   41.15940    -75.51550    -0.07      0.21     0.22     1 
0140320322   41.15956    -75.47760    -0.03      0.09     0.09     1 
0140320323   41.15971    -75.43970    -0.01      0.04     0.04     1 
0140320325   41.15998    -75.36389     0.03     -0.03     0.04     1 
0140320326   41.16009    -75.32599     0.01      0.02     0.02     1 
0140320327   41.16019    -75.28809    -0.11      0.04     0.12     1 
0140320328   41.16028    -75.25019    -0.02      0.02     0.03     1 
0140320329   41.16036    -75.21228    -0.14     -0.03     0.14     1 
0140320330   41.16042    -75.17438    -0.10      0.03     0.10     1 
0140320331   41.16047    -75.13648    -0.02     -0.02     0.03     1 
0140320333   41.16054    -75.06067    -0.21      0.00     0.21     1 
0140320334   41.16055    -75.02277    -0.09     -0.12     0.15     1 
0140320390   41.13249    -75.74261     0.10     -0.06     0.12     1 
0140320393   41.13316    -75.62896     0.02     -0.09     0.10     1 
0140320394   41.13336    -75.59107     0.08      0.06     0.10     1 
0140320395   41.13355    -75.55319     0.04     -0.01     0.05     1 
0140320396   41.13373    -75.51530     0.05      0.02     0.05     1 
0140320397   41.13389    -75.47741     0.02      0.05     0.05     1 
0140320398   41.13404    -75.43953     0.07      0.03     0.07     1 
0140320399   41.13418    -75.40164     0.05     -0.12     0.13     1 
0140320400   41.13430    -75.36375     0.00      0.01     0.01     1 
0140320401   41.13442    -75.32586     0.03      0.05     0.06     1 
