Fri. Sep.  9, 2016             LANDSAT 5                 Time: 08:48
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19552373            Path/Row: 014 / 032

L0R Reference Image: L51GNC1008251150100_HDF.162531344
Acquisition Date: Sep 07, 2008

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455      -2.972     0.974    -3.093     0.407
0140320002_01   40.844760  -73.788842   -27.396      -3.485     1.701    -3.759     1.022
0140320003_01   40.948134  -74.065321   -15.668       1.482     2.469     0.985     2.696
0140320004_01   40.978516  -73.787468    47.304      -1.442     0.887    -1.601     0.601
0140320005_01   39.597576  -74.342643   -30.984      -1.340     0.815    -1.486     0.547
0140320007_01   40.869077  -74.151518    -4.729       2.401     0.662     2.222     1.091
0140320008_01   40.462764  -74.295361    -1.381       4.595    -2.530     4.967    -1.637
0140320009_01   40.348343  -74.123108   -16.496      -0.904    -1.201    -0.684    -1.350
0140320010_01   40.600232  -75.454805    41.220       2.292    -2.413     2.710    -1.944
0140320011_01   40.627047  -74.167714   -25.800       2.410    -2.456     2.806    -1.970
0140320012_01   39.992673  -75.274339    41.869       0.903     0.151     0.864     0.317
0140320013_01   40.876867  -74.352585    25.543       0.578     0.572     0.453     0.667
0140320014_01   41.034599  -75.065550   265.632       2.000    -1.671     2.279    -1.271
0140320015_01   40.732542  -73.708102    -4.949       0.777     3.248     0.139     3.330
0140320016_01   39.989676  -74.158986   -27.474      -2.986     0.574    -3.060     0.006
0140320017_01   40.909079  -74.530737   203.203      -0.479    -0.294    -0.421    -0.378
0140320018_01   40.362150  -74.024706   -18.215      -3.901    -1.931    -3.495    -2.623
0140320019_01   41.002140  -74.203678   125.341       1.352    -0.326     1.376    -0.073
0140320020_01   40.098094  -74.091837   -27.866      -2.735     1.767    -3.034     1.224
0140320021_01   40.155362  -75.136205    49.267      -0.487     3.841    -1.187     3.682
