==============================================================================
==============================================================================
Fri. Sep. 9 2016                  LANDSAT 5                       Time: 13:57
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609043527_06624                          Path / Row - 14 / 32
Reference Image: L51GNC1008251150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320326   41.17872    -75.41550     0.15      0.09     0.18     1 
0140320330   41.17917    -75.26385    -0.04      0.08     0.09     1 
0140320334   41.17941    -75.11219    -0.10     -0.13     0.16     1 
0140320397   41.15240    -75.56693     0.09      0.12     0.15     1 
0140320400   41.15290    -75.45324     0.07     -0.02     0.07     1 
0140320403   41.15329    -75.33955    -0.06      0.04     0.07     1 
0140320404   41.15340    -75.30165     0.06     -0.03     0.06     1 
0140320406   41.15357    -75.22585     0.12     -0.06     0.13     1 
0140320411   41.15379    -75.03635     0.04     -0.07     0.08     1 
0140320412   41.15380    -74.99845    -0.10     -0.02     0.10     1 
0140320413   41.15379    -74.96055    -0.13      0.05     0.14     1 
0140320470   41.12633    -75.64248     0.04      0.13     0.13     1 
0140320472   41.12673    -75.56671    -0.05      0.05     0.07     1 
0140320473   41.12691    -75.52883     0.05      0.11     0.12     1 
0140320474   41.12708    -75.49095     0.13      0.10     0.17     1 
0140320477   41.12750    -75.37730     0.12      0.00     0.12     1 
0140320478   41.12762    -75.33941     0.03      0.08     0.08     1 
0140320479   41.12773    -75.30153    -0.02      0.04     0.04     1 
0140320480   41.12782    -75.26364    -0.04      0.05     0.06     1 
0140320481   41.12790    -75.22576    -0.08      0.07     0.10     1 
0140320483   41.12803    -75.14999     0.01      0.00     0.01     1 
0140320484   41.12807    -75.11211    -0.06      0.00     0.06     1 
0140320486   41.12812    -75.03634    -0.03      0.04     0.05     1 
0140320487   41.12812    -74.99845     0.01      0.01     0.01     1 
0140320491   41.12802    -74.84691    -0.14      0.02     0.14     1 
0140320546   41.10086    -75.60436     0.11      0.01     0.11     1 
0140320552   41.10183    -75.37715     0.11      0.04     0.11     1 
0140320553   41.10195    -75.33928     0.02      0.02     0.03     1 
0140320554   41.10206    -75.30141    -0.00     -0.05     0.05     1 
0140320555   41.10215    -75.26354     0.02     -0.02     0.03     1 
0140320556   41.10223    -75.22567    -0.02      0.03     0.04     1 
0140320557   41.10230    -75.18780    -0.05      0.02     0.05     1 
0140320558   41.10235    -75.14993    -0.00      0.01     0.01     1 
0140320560   41.10242    -75.07419    -0.08      0.10     0.12     1 
0140320561   41.10244    -75.03632     0.03      0.08     0.09     1 
0140320562   41.10245    -74.99845    -0.02     -0.01     0.02     1 
0140320565   41.10239    -74.88484    -0.10     -0.03     0.10     1 
0140320566   41.10235    -74.84697     0.04     -0.12     0.12     1 
0140320574   41.10155    -74.54402    -0.06      0.03     0.06     1 
0140320621   41.07519    -75.60412     0.15      0.11     0.18     1 
0140320624   41.07573    -75.49056     0.11      0.04     0.12     1 
0140320625   41.07589    -75.45271     0.11      0.03     0.11     1 
0140320626   41.07603    -75.41486     0.04      0.05     0.06     1 
0140320627   41.07616    -75.37700    -0.02      0.00     0.02     1 
0140320628   41.07628    -75.33915     0.02      0.01     0.02     1 
0140320629   41.07638    -75.30129    -0.01     -0.01     0.02     1 
0140320630   41.07648    -75.26344    -0.03     -0.02     0.04     1 
0140320631   41.07655    -75.22558    -0.04      0.06     0.07     1 
0140320632   41.07662    -75.18773    -0.09      0.05     0.10     1 
0140320633   41.07668    -75.14987    -0.09     -0.01     0.10     1 
0140320634   41.07672    -75.11202    -0.01      0.03     0.03     1 
0140320635   41.07675    -75.07416     0.03      0.07     0.08     1 
0140320637   41.07678    -74.99845    -0.08      0.01     0.08     1 
0140320643   41.07655    -74.77132     0.03      0.03     0.04     1 
0140320644   41.07647    -74.73347    -0.04      0.01     0.04     1 
