Wed. Aug. 31, 2016             LANDSAT 5                 Time: 13:45
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19349670            Path/Row: 014 / 032

L0R Reference Image: L51EDC1010240150100_HDF.162441828
Acquisition Date: Aug 28, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       3.917     1.256     3.615     1.962
0140320002_01   40.844760  -73.788842   -27.396      -2.433    -1.927    -2.039    -2.345
0140320003_01   40.948134  -74.065321   -15.668       0.665     0.818     0.498     0.926
0140320004_01   40.978516  -73.787468    47.304      -3.607     0.156    -3.576    -0.515
0140320005_01   39.597576  -74.342643   -30.984      -1.816     1.601    -2.085     1.234
0140320006_01   40.864834  -73.649647    -0.304      -3.482    -6.939    -2.143    -7.462
0140320007_01   40.869077  -74.151518    -4.729       1.070     0.579     0.941     0.767
0140320008_01   40.462764  -74.295361    -1.381       3.845    -0.371     3.841     0.348
0140320009_01   40.348343  -74.123108   -16.496      -3.694    -0.173    -3.600    -0.856
0140320010_01   40.600232  -75.454805    41.220       4.404    -2.964     4.878    -2.095
0140320011_01   40.627047  -74.167714   -25.800       5.062    -1.163     5.184    -0.205
0140320012_01   39.992673  -75.274339    41.869      -0.875    -3.529    -0.202    -3.628
0140320013_01   40.876867  -74.352585    25.543       0.616     1.072     0.405     1.166
0140320014_01   41.034599  -75.065550   265.632       1.563     0.533     1.438     0.812
0140320015_01   40.732542  -73.708102    -4.949       0.698     3.732    -0.011     3.794
0140320016_01   39.989676  -74.158986   -27.474      -2.781    -0.015    -2.733    -0.532
0140320017_01   40.909079  -74.530737   203.203       1.223    -0.103     1.219     0.126
0140320018_01   40.362150  -74.024706   -18.215      -4.519     0.077    -4.457    -0.764
0140320019_01   41.002140  -74.203678   125.341      -0.690     3.040    -1.242     2.857
0140320020_01   40.098094  -74.091837   -27.866      -2.087    -1.211    -1.829    -1.578
